REGION,FUEL,YEAR,VALUE
REGION1,ATE2,2015,227.59
REGION1,ATE2,2016,227.92
REGION1,ATE2,2017,228.23
REGION1,ATE2,2018,228.51
REGION1,ATE2,2019,228.78
REGION1,ATE2,2020,229.02
REGION1,ATE2,2021,233.71
REGION1,ATE2,2022,238.41
REGION1,ATE2,2023,243.13
REGION1,ATE2,2024,247.86
REGION1,ATE2,2025,252.61
REGION1,ATE2,2026,257.32
REGION1,ATE2,2027,262.05
REGION1,ATE2,2028,266.78
REGION1,ATE2,2029,271.53
REGION1,ATE2,2030,276.29
REGION1,ATE2,2031,285.8
REGION1,ATE2,2032,295.29
REGION1,ATE2,2033,304.77
REGION1,ATE2,2034,314.24
REGION1,ATE2,2035,323.7
REGION1,ATE2,2036,333.54
REGION1,ATE2,2037,343.38
REGION1,ATE2,2038,353.24
REGION1,ATE2,2039,363.09
REGION1,ATE2,2040,372.96
REGION1,ATE2,2041,380.57
REGION1,ATE2,2042,388.19
REGION1,ATE2,2043,395.82
REGION1,ATE2,2044,403.46
REGION1,ATE2,2045,411.1
REGION1,ATE2,2046,417.42
REGION1,ATE2,2047,423.72
REGION1,ATE2,2048,430.0
REGION1,ATE2,2049,436.25
REGION1,ATE2,2050,442.49
REGION1,ATE2,2051,441.85
REGION1,ATE2,2052,441.2
REGION1,ATE2,2053,440.55
REGION1,ATE2,2054,439.9
REGION1,ATE2,2055,439.26
REGION1,ATE2,2056,438.32
REGION1,ATE2,2057,437.38
REGION1,ATE2,2058,436.44
REGION1,ATE2,2059,435.5
REGION1,ATE2,2060,434.56
REGION1,BEE2,2015,294.46
REGION1,BEE2,2016,292.83
REGION1,BEE2,2017,291.22
REGION1,BEE2,2018,289.62
REGION1,BEE2,2019,288.05
REGION1,BEE2,2020,286.49
REGION1,BEE2,2021,291.14
REGION1,BEE2,2022,295.78
REGION1,BEE2,2023,300.42
REGION1,BEE2,2024,305.04
REGION1,BEE2,2025,309.64
REGION1,BEE2,2026,315.5
REGION1,BEE2,2027,321.38
REGION1,BEE2,2028,327.27
REGION1,BEE2,2029,333.17
REGION1,BEE2,2030,339.09
REGION1,BEE2,2031,350.97
REGION1,BEE2,2032,362.84
REGION1,BEE2,2033,374.7
REGION1,BEE2,2034,386.57
REGION1,BEE2,2035,398.43
REGION1,BEE2,2036,412.03
REGION1,BEE2,2037,425.7
REGION1,BEE2,2038,439.44
REGION1,BEE2,2039,453.25
REGION1,BEE2,2040,467.12
REGION1,BEE2,2041,478.03
REGION1,BEE2,2042,488.99
REGION1,BEE2,2043,499.98
REGION1,BEE2,2044,511.02
REGION1,BEE2,2045,522.09
REGION1,BEE2,2046,533.12
REGION1,BEE2,2047,544.19
REGION1,BEE2,2048,555.29
REGION1,BEE2,2049,566.43
REGION1,BEE2,2050,577.61
REGION1,BEE2,2051,578.49
REGION1,BEE2,2052,579.37
REGION1,BEE2,2053,580.25
REGION1,BEE2,2054,581.12
REGION1,BEE2,2055,582.0
REGION1,BEE2,2056,583.07
REGION1,BEE2,2057,584.14
REGION1,BEE2,2058,585.21
REGION1,BEE2,2059,586.29
REGION1,BEE2,2060,587.36
REGION1,BGE2,2015,99.73
REGION1,BGE2,2016,99.67
REGION1,BGE2,2017,99.6
REGION1,BGE2,2018,99.53
REGION1,BGE2,2019,99.46
REGION1,BGE2,2020,99.38
REGION1,BGE2,2021,101.4
REGION1,BGE2,2022,103.42
REGION1,BGE2,2023,105.45
REGION1,BGE2,2024,107.48
REGION1,BGE2,2025,109.52
REGION1,BGE2,2026,111.3
REGION1,BGE2,2027,113.09
REGION1,BGE2,2028,114.86
REGION1,BGE2,2029,116.64
REGION1,BGE2,2030,118.42
REGION1,BGE2,2031,122.28
REGION1,BGE2,2032,126.11
REGION1,BGE2,2033,129.93
REGION1,BGE2,2034,133.73
REGION1,BGE2,2035,137.52
REGION1,BGE2,2036,141.49
REGION1,BGE2,2037,145.46
REGION1,BGE2,2038,149.42
REGION1,BGE2,2039,153.38
REGION1,BGE2,2040,157.33
REGION1,BGE2,2041,160.34
REGION1,BGE2,2042,163.34
REGION1,BGE2,2043,166.35
REGION1,BGE2,2044,169.35
REGION1,BGE2,2045,172.36
REGION1,BGE2,2046,175.91
REGION1,BGE2,2047,179.47
REGION1,BGE2,2048,183.04
REGION1,BGE2,2049,186.62
REGION1,BGE2,2050,190.22
REGION1,BGE2,2051,190.7
REGION1,BGE2,2052,191.18
REGION1,BGE2,2053,191.66
REGION1,BGE2,2054,192.14
REGION1,BGE2,2055,192.62
REGION1,BGE2,2056,193.16
REGION1,BGE2,2057,193.71
REGION1,BGE2,2058,194.26
REGION1,BGE2,2059,194.81
REGION1,BGE2,2060,195.36
REGION1,CHE2,2015,222.64
REGION1,CHE2,2016,222.53
REGION1,CHE2,2017,222.41
REGION1,CHE2,2018,222.28
REGION1,CHE2,2019,222.14
REGION1,CHE2,2020,221.99
REGION1,CHE2,2021,225.91
REGION1,CHE2,2022,229.83
REGION1,CHE2,2023,233.76
REGION1,CHE2,2024,237.68
REGION1,CHE2,2025,241.6
REGION1,CHE2,2026,245.27
REGION1,CHE2,2027,248.94
REGION1,CHE2,2028,252.6
REGION1,CHE2,2029,256.25
REGION1,CHE2,2030,259.9
REGION1,CHE2,2031,268.47
REGION1,CHE2,2032,277.01
REGION1,CHE2,2033,285.51
REGION1,CHE2,2034,293.99
REGION1,CHE2,2035,302.44
REGION1,CHE2,2036,310.23
REGION1,CHE2,2037,317.98
REGION1,CHE2,2038,325.67
REGION1,CHE2,2039,333.31
REGION1,CHE2,2040,340.9
REGION1,CHE2,2041,346.08
REGION1,CHE2,2042,351.23
REGION1,CHE2,2043,356.34
REGION1,CHE2,2044,361.42
REGION1,CHE2,2045,366.47
REGION1,CHE2,2046,371.72
REGION1,CHE2,2047,376.94
REGION1,CHE2,2048,382.13
REGION1,CHE2,2049,387.3
REGION1,CHE2,2050,392.44
REGION1,CHE2,2051,391.62
REGION1,CHE2,2052,390.78
REGION1,CHE2,2053,389.93
REGION1,CHE2,2054,389.08
REGION1,CHE2,2055,388.21
REGION1,CHE2,2056,387.44
REGION1,CHE2,2057,386.65
REGION1,CHE2,2058,385.83
REGION1,CHE2,2059,384.98
REGION1,CHE2,2060,384.11
REGION1,CYE2,2015,15.07
REGION1,CYE2,2016,15.16
REGION1,CYE2,2017,15.24
REGION1,CYE2,2018,15.32
REGION1,CYE2,2019,15.39
REGION1,CYE2,2020,15.47
REGION1,CYE2,2021,15.95
REGION1,CYE2,2022,16.43
REGION1,CYE2,2023,16.92
REGION1,CYE2,2024,17.42
REGION1,CYE2,2025,17.92
REGION1,CYE2,2026,18.26
REGION1,CYE2,2027,18.6
REGION1,CYE2,2028,18.94
REGION1,CYE2,2029,19.29
REGION1,CYE2,2030,19.63
REGION1,CYE2,2031,20.46
REGION1,CYE2,2032,21.3
REGION1,CYE2,2033,22.14
REGION1,CYE2,2034,22.99
REGION1,CYE2,2035,23.85
REGION1,CYE2,2036,24.69
REGION1,CYE2,2037,25.53
REGION1,CYE2,2038,26.38
REGION1,CYE2,2039,27.23
REGION1,CYE2,2040,28.09
REGION1,CYE2,2041,28.97
REGION1,CYE2,2042,29.86
REGION1,CYE2,2043,30.76
REGION1,CYE2,2044,31.66
REGION1,CYE2,2045,32.57
REGION1,CYE2,2046,33.29
REGION1,CYE2,2047,34.02
REGION1,CYE2,2048,34.75
REGION1,CYE2,2049,35.48
REGION1,CYE2,2050,36.22
REGION1,CYE2,2051,36.34
REGION1,CYE2,2052,36.47
REGION1,CYE2,2053,36.6
REGION1,CYE2,2054,36.73
REGION1,CYE2,2055,36.86
REGION1,CYE2,2056,37.0
REGION1,CYE2,2057,37.14
REGION1,CYE2,2058,37.28
REGION1,CYE2,2059,37.42
REGION1,CYE2,2060,37.57
REGION1,CZE2,2015,209.84
REGION1,CZE2,2016,209.52
REGION1,CZE2,2017,209.19
REGION1,CZE2,2018,208.85
REGION1,CZE2,2019,208.51
REGION1,CZE2,2020,208.16
REGION1,CZE2,2021,212.96
REGION1,CZE2,2022,217.78
REGION1,CZE2,2023,222.63
REGION1,CZE2,2024,227.51
REGION1,CZE2,2025,232.41
REGION1,CZE2,2026,236.34
REGION1,CZE2,2027,240.26
REGION1,CZE2,2028,244.19
REGION1,CZE2,2029,248.12
REGION1,CZE2,2030,252.05
REGION1,CZE2,2031,261.32
REGION1,CZE2,2032,270.62
REGION1,CZE2,2033,279.94
REGION1,CZE2,2034,289.27
REGION1,CZE2,2035,298.63
REGION1,CZE2,2036,307.88
REGION1,CZE2,2037,317.13
REGION1,CZE2,2038,326.4
REGION1,CZE2,2039,335.68
REGION1,CZE2,2040,344.98
REGION1,CZE2,2041,352.73
REGION1,CZE2,2042,360.5
REGION1,CZE2,2043,368.3
REGION1,CZE2,2044,376.12
REGION1,CZE2,2045,383.96
REGION1,CZE2,2046,391.63
REGION1,CZE2,2047,399.32
REGION1,CZE2,2048,407.02
REGION1,CZE2,2049,414.75
REGION1,CZE2,2050,422.49
REGION1,CZE2,2051,423.55
REGION1,CZE2,2052,424.62
REGION1,CZE2,2053,425.68
REGION1,CZE2,2054,426.75
REGION1,CZE2,2055,427.82
REGION1,CZE2,2056,427.76
REGION1,CZE2,2057,427.69
REGION1,CZE2,2058,427.63
REGION1,CZE2,2059,427.56
REGION1,CZE2,2060,427.49
REGION1,DEE2,2015,1879.04
REGION1,DEE2,2016,1864.52
REGION1,DEE2,2017,1850.2
REGION1,DEE2,2018,1836.08
REGION1,DEE2,2019,1822.16
REGION1,DEE2,2020,1808.42
REGION1,DEE2,2021,1841.96
REGION1,DEE2,2022,1875.52
REGION1,DEE2,2023,1909.11
REGION1,DEE2,2024,1942.73
REGION1,DEE2,2025,1976.37
REGION1,DEE2,2026,2007.2
REGION1,DEE2,2027,2038.0
REGION1,DEE2,2028,2068.77
REGION1,DEE2,2029,2099.5
REGION1,DEE2,2030,2130.2
REGION1,DEE2,2031,2192.66
REGION1,DEE2,2032,2254.43
REGION1,DEE2,2033,2315.54
REGION1,DEE2,2034,2376.0
REGION1,DEE2,2035,2435.81
REGION1,DEE2,2036,2493.73
REGION1,DEE2,2037,2551.02
REGION1,DEE2,2038,2607.68
REGION1,DEE2,2039,2663.72
REGION1,DEE2,2040,2719.17
REGION1,DEE2,2041,2757.71
REGION1,DEE2,2042,2795.91
REGION1,DEE2,2043,2833.79
REGION1,DEE2,2044,2871.36
REGION1,DEE2,2045,2908.61
REGION1,DEE2,2046,2946.88
REGION1,DEE2,2047,2984.85
REGION1,DEE2,2048,3022.55
REGION1,DEE2,2049,3059.97
REGION1,DEE2,2050,3097.13
REGION1,DEE2,2051,3086.45
REGION1,DEE2,2052,3075.8
REGION1,DEE2,2053,3065.17
REGION1,DEE2,2054,3054.56
REGION1,DEE2,2055,3043.98
REGION1,DEE2,2056,3034.44
REGION1,DEE2,2057,3024.92
REGION1,DEE2,2058,3015.43
REGION1,DEE2,2059,3005.95
REGION1,DEE2,2060,2996.49
REGION1,DKE2,2015,114.43
REGION1,DKE2,2016,113.9
REGION1,DKE2,2017,113.38
REGION1,DKE2,2018,112.86
REGION1,DKE2,2019,112.34
REGION1,DKE2,2020,111.83
REGION1,DKE2,2021,114.45
REGION1,DKE2,2022,117.09
REGION1,DKE2,2023,119.74
REGION1,DKE2,2024,122.4
REGION1,DKE2,2025,125.08
REGION1,DKE2,2026,127.29
REGION1,DKE2,2027,129.5
REGION1,DKE2,2028,131.71
REGION1,DKE2,2029,133.93
REGION1,DKE2,2030,136.15
REGION1,DKE2,2031,141.61
