REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DECOCHPH3,2015,99999
REGION1,DECOCHPH3,2016,99999
REGION1,DECOCHPH3,2017,99999
REGION1,DECOCHPH3,2018,99999
REGION1,DECOCHPH3,2019,99999
REGION1,DECOCHPH3,2020,99999
REGION1,DECOCHPH3,2021,99999
REGION1,DECOCHPH3,2022,99999
REGION1,DECOCHPH3,2023,9.82
REGION1,DECOCHPH3,2024,5.67
REGION1,DECOCHPH3,2025,3.71
REGION1,DECOCHPH3,2026,3.71
REGION1,DECOCHPH3,2027,3.71
REGION1,DECOCHPH3,2028,3.44
REGION1,DECOCHPH3,2029,3.39
REGION1,DECOCHPH3,2030,3.39
REGION1,DECOCHPH3,2031,3.39
REGION1,DECOCHPH3,2032,3.39
REGION1,DECOCHPH3,2033,3.39
REGION1,DECOCHPH3,2034,3.27
REGION1,DECOCHPH3,2035,2.61
REGION1,DECOCHPH3,2036,1.94
REGION1,DECOCHPH3,2037,1.1
REGION1,DECOCHPH3,2038,0.42
REGION1,DECOCHPH3,2039,0
REGION1,DECOCHPH3,2040,0
REGION1,DECOCHPH3,2041,0
REGION1,DECOCHPH3,2042,0
REGION1,DECOCHPH3,2043,0
REGION1,DECOCHPH3,2044,0
REGION1,DECOCHPH3,2045,0
REGION1,DECOCHPH3,2046,0
REGION1,DECOCHPH3,2047,0
REGION1,DECOCHPH3,2048,0
REGION1,DECOCHPH3,2049,0
REGION1,DECOCHPH3,2050,0
REGION1,DECOCHPH3,2051,0
REGION1,DECOCHPH3,2052,0
REGION1,DECOCHPH3,2053,0
REGION1,DECOCHPH3,2054,0
REGION1,DECOCHPH3,2055,0
REGION1,DECOCHPH3,2056,0
REGION1,DECOCHPH3,2057,0
REGION1,DECOCHPH3,2058,0
REGION1,DECOCHPH3,2059,0
REGION1,DECOCHPH3,2060,0
REGION1,DECOSTPH1,2015,99999
REGION1,DECOSTPH1,2016,99999
REGION1,DECOSTPH1,2017,99999
REGION1,DECOSTPH1,2018,99999
REGION1,DECOSTPH1,2019,99999
REGION1,DECOSTPH1,2020,99999
REGION1,DECOSTPH1,2021,99999
REGION1,DECOSTPH1,2022,99999
REGION1,DECOSTPH1,2023,12.31
REGION1,DECOSTPH1,2024,14.6
REGION1,DECOSTPH1,2025,14.7
REGION1,DECOSTPH1,2026,12.84
REGION1,DECOSTPH1,2027,10.99
REGION1,DECOSTPH1,2028,9.4
REGION1,DECOSTPH1,2029,7.59
REGION1,DECOSTPH1,2030,6.15
REGION1,DECOSTPH1,2031,4.27
REGION1,DECOSTPH1,2032,2.38
REGION1,DECOSTPH1,2033,1.51
REGION1,DECOSTPH1,2034,0
REGION1,DECOSTPH1,2035,0
REGION1,DECOSTPH1,2036,0
REGION1,DECOSTPH1,2037,0
REGION1,DECOSTPH1,2038,0
REGION1,DECOSTPH1,2039,0
REGION1,DECOSTPH1,2040,0
REGION1,DECOSTPH1,2041,0
REGION1,DECOSTPH1,2042,0
REGION1,DECOSTPH1,2043,0
REGION1,DECOSTPH1,2044,0
REGION1,DECOSTPH1,2045,0
REGION1,DECOSTPH1,2046,0
REGION1,DECOSTPH1,2047,0
REGION1,DECOSTPH1,2048,0
REGION1,DECOSTPH1,2049,0
REGION1,DECOSTPH1,2050,0
REGION1,DECOSTPH1,2051,0
REGION1,DECOSTPH1,2052,0
REGION1,DECOSTPH1,2053,0
REGION1,DECOSTPH1,2054,0
REGION1,DECOSTPH1,2055,0
REGION1,DECOSTPH1,2056,0
REGION1,DECOSTPH1,2057,0
REGION1,DECOSTPH1,2058,0
REGION1,DECOSTPH1,2059,0
REGION1,DECOSTPH1,2060,0
REGION1,DECOSTPH3,2015,99999
REGION1,DECOSTPH3,2016,99999
REGION1,DECOSTPH3,2017,99999
REGION1,DECOSTPH3,2018,99999
REGION1,DECOSTPH3,2019,99999
REGION1,DECOSTPH3,2020,99999
REGION1,DECOSTPH3,2021,99999
REGION1,DECOSTPH3,2022,99999
REGION1,DECOSTPH3,2023,7.87
REGION1,DECOSTPH3,2024,7.87
REGION1,DECOSTPH3,2025,7.87
REGION1,DECOSTPH3,2026,7.87
REGION1,DECOSTPH3,2027,7.87
REGION1,DECOSTPH3,2028,7.87
REGION1,DECOSTPH3,2029,7.87
REGION1,DECOSTPH3,2030,7.449
REGION1,DECOSTPH3,2031,7.449
REGION1,DECOSTPH3,2032,7.449
REGION1,DECOSTPH3,2033,6.432
REGION1,DECOSTPH3,2034,6.219
REGION1,DECOSTPH3,2035,4.98
REGION1,DECOSTPH3,2036,3.751
REGION1,DECOSTPH3,2037,2.688
REGION1,DECOSTPH3,2038,1.476
REGION1,DECOSTPH3,2039,0
REGION1,DECOSTPH3,2040,0
REGION1,DECOSTPH3,2041,0
REGION1,DECOSTPH3,2042,0
REGION1,DECOSTPH3,2043,0
REGION1,DECOSTPH3,2044,0
REGION1,DECOSTPH3,2045,0
REGION1,DECOSTPH3,2046,0
REGION1,DECOSTPH3,2047,0
REGION1,DECOSTPH3,2048,0
REGION1,DECOSTPH3,2049,0
REGION1,DECOSTPH3,2050,0
REGION1,DECOSTPH3,2051,0
REGION1,DECOSTPH3,2052,0
REGION1,DECOSTPH3,2053,0
REGION1,DECOSTPH3,2054,0
REGION1,DECOSTPH3,2055,0
REGION1,DECOSTPH3,2056,0
REGION1,DECOSTPH3,2057,0
REGION1,DECOSTPH3,2058,0
REGION1,DECOSTPH3,2059,0
REGION1,DECOSTPH3,2060,0
REGION1,PLNUG3PN3,2015,0
REGION1,PLNUG3PN3,2016,0
REGION1,PLNUG3PN3,2017,0
REGION1,PLNUG3PN3,2018,0
REGION1,PLNUG3PN3,2019,0
REGION1,PLNUG3PN3,2020,0
REGION1,PLNUG3PN3,2021,0
REGION1,PLNUG3PN3,2022,0
REGION1,PLNUG3PN3,2023,0
REGION1,PLNUG3PN3,2024,0
REGION1,PLNUG3PN3,2025,1.2
REGION1,PLNUG3PN3,2026,1.2
REGION1,PLNUG3PN3,2027,1.2
REGION1,PLNUG3PN3,2028,2.4
REGION1,PLNUG3PN3,2029,2.4
REGION1,PLNUG3PN3,2030,2.4
REGION1,PLNUG3PN3,2031,2.4
REGION1,PLNUG3PN3,2032,2.4
REGION1,PLNUG3PN3,2033,3
REGION1,PLNUG3PN3,2034,3
REGION1,PLNUG3PN3,2035,3
REGION1,PLNUG3PN3,2036,3
REGION1,PLNUG3PN3,2037,3
REGION1,PLNUG3PN3,2038,3
REGION1,PLNUG3PN3,2039,6
REGION1,PLNUG3PN3,2040,6
REGION1,PLNUG3PN3,2041,6
REGION1,PLNUG3PN3,2042,99999
REGION1,PLNUG3PN3,2043,99999
REGION1,PLNUG3PN3,2044,99999
REGION1,PLNUG3PN3,2045,99999
REGION1,PLNUG3PN3,2046,99999
REGION1,PLNUG3PN3,2047,99999
REGION1,PLNUG3PN3,2048,99999
REGION1,PLNUG3PN3,2049,99999
REGION1,PLNUG3PN3,2050,99999
REGION1,PLNUG3PN3,2051,99999
REGION1,PLNUG3PN3,2052,99999
REGION1,PLNUG3PN3,2053,99999
REGION1,PLNUG3PN3,2054,99999
REGION1,PLNUG3PN3,2055,99999
REGION1,PLNUG3PN3,2056,99999
REGION1,PLNUG3PN3,2057,99999
REGION1,PLNUG3PN3,2058,99999
REGION1,PLNUG3PN3,2059,99999
REGION1,PLNUG3PN3,2060,99999
REGION1,SINUG3PN3,2015,0
REGION1,SINUG3PN3,2016,0
REGION1,SINUG3PN3,2017,0
REGION1,SINUG3PN3,2018,0
REGION1,SINUG3PN3,2019,0
REGION1,SINUG3PN3,2020,0
REGION1,SINUG3PN3,2021,0
REGION1,SINUG3PN3,2022,0
REGION1,SINUG3PN3,2023,0
REGION1,SINUG3PN3,2024,0
REGION1,SINUG3PN3,2025,0
REGION1,SINUG3PN3,2026,0
REGION1,SINUG3PN3,2027,0
REGION1,SINUG3PN3,2028,0
REGION1,SINUG3PN3,2029,0
REGION1,SINUG3PN3,2030,1.2
REGION1,SINUG3PN3,2031,1.2
REGION1,SINUG3PN3,2032,1.2
REGION1,SINUG3PN3,2033,1.2
REGION1,SINUG3PN3,2034,1.2
REGION1,SINUG3PN3,2035,1.2
REGION1,SINUG3PN3,2036,99999
REGION1,SINUG3PN3,2037,99999
REGION1,SINUG3PN3,2038,99999
REGION1,SINUG3PN3,2039,99999
REGION1,SINUG3PN3,2040,99999
REGION1,SINUG3PN3,2041,99999
REGION1,SINUG3PN3,2042,99999
REGION1,SINUG3PN3,2043,99999
REGION1,SINUG3PN3,2044,99999
REGION1,SINUG3PN3,2045,99999
REGION1,SINUG3PN3,2046,99999
REGION1,SINUG3PN3,2047,99999
REGION1,SINUG3PN3,2048,99999
REGION1,SINUG3PN3,2049,99999
REGION1,SINUG3PN3,2050,99999
REGION1,SINUG3PN3,2051,99999
REGION1,SINUG3PN3,2052,99999
REGION1,SINUG3PN3,2053,99999
REGION1,SINUG3PN3,2054,99999
REGION1,SINUG3PN3,2055,99999
REGION1,SINUG3PN3,2056,99999
REGION1,SINUG3PN3,2057,99999
REGION1,SINUG3PN3,2058,99999
REGION1,SINUG3PN3,2059,99999
REGION1,SINUG3PN3,2060,99999
REGION1,GRCOSTPH3,2015,99999
REGION1,GRCOSTPH3,2016,99999
REGION1,GRCOSTPH3,2017,99999
REGION1,GRCOSTPH3,2018,99999
REGION1,GRCOSTPH3,2019,99999
REGION1,GRCOSTPH3,2020,99999
REGION1,GRCOSTPH3,2021,99999
REGION1,GRCOSTPH3,2022,99999
REGION1,GRCOSTPH3,2023,99999
REGION1,GRCOSTPH3,2024,0.66
REGION1,GRCOSTPH3,2025,0.66
REGION1,GRCOSTPH3,2026,0.66
REGION1,GRCOSTPH3,2027,0.66
REGION1,GRCOSTPH3,2028,0.66
REGION1,FINUG3PN3,2015,0
REGION1,FINUG3PN3,2016,0
