REGION,TECHNOLOGY,YEAR,VALUE
REGION1,BENG00I00,2015,141
REGION1,BENG00I00,2016,141
REGION1,BENG00I00,2017,130
REGION1,BENG00I00,2018,120
REGION1,BENG00I00,2019,110
REGION1,BENG00I00,2020,100
REGION1,BENG00I00,2021,90
REGION1,BENG00I00,2022,80
REGION1,DENG00X00,2015,391
REGION1,DENG00X00,2016,391
REGION1,DENG00X00,2017,380
REGION1,DENG00X00,2018,380
REGION1,DENG00X00,2019,380
REGION1,DENG00X00,2020,380
REGION1,DENG00X00,2021,380
REGION1,DENG00X00,2022,386
REGION1,DKNG00X00,2015,11
REGION1,DKNG00X00,2016,11
REGION1,DKNG00X00,2017,10
REGION1,DKNG00X00,2018,9
REGION1,DKNG00X00,2019,8
REGION1,DKNG00X00,2020,7
REGION1,ESNG00I00,2015,324
REGION1,ESNG00I00,2016,324
REGION1,ESNG00I00,2017,300
REGION1,ESNG00I00,2018,300
REGION1,ESNG00I00,2019,300
REGION1,ESNG00I00,2020,300
REGION1,ESNG00I00,2021,318
REGION1,ESNG00I00,2022,317
REGION1,ESNG00X00,2015,1
REGION1,ESNG00X00,2016,1
REGION1,ESNG00X00,2017,1
REGION1,ESNG00X00,2018,1
REGION1,ESNG00X00,2019,1
REGION1,ESNG00X00,2020,1
REGION1,FING00I00,2015,31
REGION1,FING00I00,2016,31
REGION1,FING00I00,2017,27
REGION1,FING00I00,2018,25
REGION1,FING00I00,2019,22
REGION1,FING00I00,2020,20
REGION1,FING00I00,2021,25
REGION1,FING00I00,2022,23
REGION1,FRNG00I00,2015,112
REGION1,FRNG00I00,2016,112
REGION1,FRNG00I00,2017,112
REGION1,FRNG00I00,2018,112
REGION1,FRNG00I00,2019,112
REGION1,FRNG00I00,2020,112
REGION1,FRNG00X00,2015,12
REGION1,FRNG00X00,2016,12
REGION1,FRNG00X00,2017,12
REGION1,FRNG00X00,2018,12
REGION1,FRNG00X00,2019,12
REGION1,FRNG00X00,2020,12
REGION1,GRNG00I00,2015,58
REGION1,GRNG00I00,2016,58
REGION1,GRNG00I00,2017,55
REGION1,GRNG00I00,2018,55
REGION1,GRNG00I00,2019,55
REGION1,GRNG00I00,2020,55
REGION1,GRNG00I00,2021,55
REGION1,GRNG00I00,2022,55
REGION1,HRNG00X00,2015,6
REGION1,HRNG00X00,2016,6
REGION1,HRNG00X00,2017,5
REGION1,HRNG00X00,2018,5
REGION1,HRNG00X00,2019,5
REGION1,HRNG00X00,2020,5
REGION1,HRNG00X00,2021,5
REGION1,HRNG00X00,2022,5
REGION1,HUNG00X00,2015,31
REGION1,HUNG00X00,2016,31
REGION1,HUNG00X00,2017,29
REGION1,HUNG00X00,2018,29
REGION1,HUNG00X00,2019,29
REGION1,HUNG00X00,2020,29
REGION1,HUNG00X00,2021,29
REGION1,HUNG00X00,2022,29
REGION1,ITNG00I00,2015,407
REGION1,ITNG00I00,2016,416
REGION1,ITNG00I00,2017,424
REGION1,ITNG00I00,2018,433
REGION1,ITNG00I00,2019,441
REGION1,ITNG00I00,2020,449
REGION1,ITNG00I00,2021,459
REGION1,ITNG00X00,2015,283
REGION1,ITNG00X00,2016,274
REGION1,ITNG00X00,2017,266
REGION1,ITNG00X00,2018,257
REGION1,ITNG00X00,2019,249
REGION1,ITNG00X00,2020,241
REGION1,ITNG00X00,2021,231
REGION1,LUNG00I00,2015,5
REGION1,LUNG00I00,2016,5
REGION1,LUNG00I00,2017,5
REGION1,LUNG00I00,2018,5
REGION1,LUNG00I00,2019,5
REGION1,LUNG00I00,2020,5
REGION1,LUNG00I00,2021,5
REGION1,LVNG00I00,2015,23.62285714
REGION1,LVNG00I00,2016,25.23428571
REGION1,LVNG00I00,2017,21.96111111
REGION1,LVNG00I00,2018,18.68793651
REGION1,LVNG00I00,2019,15.4147619
REGION1,LVNG00I00,2020,12.1415873
REGION1,LVNG00I00,2021,8.868412698
REGION1,LVNG00I00,2022,5.595238095
REGION1,NLNG00X00,2015,285
REGION1,NLNG00X00,2016,285
REGION1,NLNG00X00,2017,280
REGION1,NLNG00X00,2018,280
REGION1,NLNG00X00,2019,280
REGION1,NLNG00X00,2020,280
REGION1,NLNG00X00,2021,280
REGION1,PLNG00X00,2015,47
REGION1,PLNG00X00,2016,47
REGION1,PLNG00X00,2017,40
REGION1,PLNG00X00,2018,40
REGION1,PLNG00X00,2019,40
REGION1,PLNG00X00,2020,40
REGION1,PLNG00X00,2021,40
REGION1,PLNG00X00,2022,40
REGION1,PTNG00I00,2015,65.5
REGION1,PTNG00I00,2016,65.5
REGION1,PTNG00I00,2017,60
REGION1,PTNG00I00,2018,60
REGION1,PTNG00I00,2019,60
REGION1,PTNG00I00,2020,60
REGION1,PTNG00I00,2021,60
REGION1,PTNG00I00,2022,60
REGION1,ROCO00X00,2015,154
REGION1,ROCO00X00,2016,135
REGION1,ROCO00X00,2017,115
REGION1,RONG00X00,2015,75
REGION1,RONG00X00,2016,77
REGION1,RONG00X00,2017,58
REGION1,RONG00X00,2018,58
REGION1,RONG00X00,2019,58
REGION1,RONG00X00,2020,58
REGION1,SING00I00,2015,1.9
REGION1,SING00I00,2016,1.9
REGION1,SING00I00,2017,1.9
REGION1,SING00I00,2018,1.9
REGION1,SING00I00,2019,1.9
REGION1,SING00I00,2020,1.9
REGION1,SING00X00,2015,0.1
REGION1,SING00X00,2016,0.1
REGION1,SING00X00,2017,0.1
REGION1,SING00X00,2018,0.1
REGION1,SING00X00,2019,0.1
REGION1,SING00X00,2020,0.1
REGION1,SKNG00I00,2015,5
REGION1,SKNG00I00,2016,6
REGION1,SKNG00I00,2017,6
REGION1,SKNG00I00,2018,6
REGION1,SKNG00I00,2019,6
REGION1,SKNG00I00,2020,6
REGION1,SKNG00I00,2021,6
REGION1,SKNG00X00,2015,5
REGION1,SKNG00X00,2016,4
REGION1,SKNG00X00,2017,4
