REGION,YEAR,VALUE
REGION1,2015,54.136
REGION1,2016,54.56155386003537
REGION1,2017,54.987107720070725
REGION1,2018,55.412661580106096
REGION1,2019,55.83821544014147
REGION1,2020,56.26376930017683
REGION1,2021,56.47556929295843
REGION1,2022,56.68736928574003
REGION1,2023,56.89916927852165
REGION1,2024,57.110969271303254
REGION1,2025,57.322769264084855
REGION1,2026,57.82569655321757
REGION1,2027,58.32862384235027
REGION1,2028,58.83155113148298
REGION1,2029,59.33447842061568
REGION1,2030,59.83740570974839
REGION1,2031,60.373158090013305
REGION1,2032,60.90891047027821
REGION1,2033,61.444662850543125
REGION1,2034,61.98041523080803
REGION1,2035,62.516167611072945
REGION1,2036,63.29263732630737
REGION1,2037,64.06910704154178
REGION1,2038,64.8455767567762
REGION1,2039,65.62204647201061
REGION1,2040,66.39851618724504
REGION1,2041,67.27971357418697
REGION1,2042,68.1609109611289
REGION1,2043,69.04210834807083
REGION1,2044,69.92330573501276
REGION1,2045,70.80450312195468
REGION1,2046,71.36096657162445
REGION1,2047,71.91743002129421
REGION1,2048,72.47389347096396
REGION1,2049,73.03035692063372
REGION1,2050,73.58682037030349
REGION1,2051,73.95475447215499
REGION1,2052,74.32452824451576
REGION1,2053,74.69615088573833
REGION1,2054,75.06963164016702
REGION1,2055,75.44497979836784
REGION1,2056,75.82220469735967
REGION1,2057,76.20131572084645
REGION1,2058,76.58232229945068
REGION1,2059,76.96523391094793
REGION1,2060,77.35006008050266
