REGION,TECHNOLOGY,YEAR,VALUE
REGION1,LTBFHPFH1,2015,1.0
REGION1,LTBFHPFH1,2016,1.0
REGION1,LTBFHPFH1,2017,1.0
REGION1,LTBFHPFH1,2018,1.0
REGION1,LTBFHPFH1,2019,1.0
REGION1,LTBFHPFH1,2020,1.0
REGION1,LTBFHPFH1,2021,1.0
REGION1,LTBFHPFH1,2022,1.0
REGION1,LTBFHPFH1,2023,1.0
REGION1,LTBFHPFH1,2024,1.0
REGION1,LTBFHPFH1,2025,1.0
REGION1,LTBFHPFH1,2026,1.0
REGION1,LTBFHPFH1,2027,1.0
REGION1,LTBFHPFH1,2028,1.0
REGION1,LTBFHPFH1,2029,1.0
REGION1,LTBFHPFH1,2030,1.0
REGION1,LTBFHPFH1,2031,1.0
REGION1,LTBFHPFH1,2032,1.0
REGION1,LTBFHPFH1,2033,1.0
REGION1,LTBFHPFH1,2034,1.0
REGION1,LTBFHPFH1,2035,1.0
REGION1,LTBFHPFH1,2036,1.0
REGION1,LTBFHPFH1,2037,1.0
REGION1,LTBFHPFH1,2038,1.0
REGION1,LTBFHPFH1,2039,1.0
REGION1,LTBFHPFH1,2040,1.0
REGION1,LTBFHPFH1,2041,1.0
REGION1,LTBFHPFH1,2042,1.0
REGION1,LTBFHPFH1,2043,1.0
REGION1,LTBFHPFH1,2044,1.0
REGION1,LTBFHPFH1,2045,1.0
REGION1,LTBFHPFH1,2046,1.0
REGION1,LTBFHPFH1,2047,1.0
REGION1,LTBFHPFH1,2048,1.0
REGION1,LTBFHPFH1,2049,1.0
REGION1,LTBFHPFH1,2050,1.0
REGION1,LTBFHPFH1,2051,1.0
REGION1,LTBFHPFH1,2052,1.0
REGION1,LTBFHPFH1,2053,1.0
REGION1,LTBFHPFH1,2054,1.0
REGION1,LTBFHPFH1,2055,1.0
REGION1,LTBFHPFH1,2056,1.0
REGION1,LTBFHPFH1,2057,1.0
REGION1,LTBFHPFH1,2058,1.0
REGION1,LTBFHPFH1,2059,1.0
REGION1,LTBFHPFH1,2060,1.0
REGION1,LTBMCCPH1,2015,1.0
REGION1,LTBMCCPH1,2016,1.0
REGION1,LTBMCCPH1,2017,1.0
REGION1,LTBMCCPH1,2018,1.0
REGION1,LTBMCCPH1,2019,1.0
REGION1,LTBMCCPH1,2020,1.0
REGION1,LTBMCCPH1,2021,1.0
REGION1,LTBMCCPH1,2022,1.0
REGION1,LTBMCCPH1,2023,1.0
REGION1,LTBMCCPH1,2024,1.0
REGION1,LTBMCCPH1,2025,1.0
REGION1,LTBMCCPH1,2026,1.0
REGION1,LTBMCCPH1,2027,1.0
REGION1,LTBMCCPH1,2028,1.0
REGION1,LTBMCCPH1,2029,1.0
REGION1,LTBMCCPH1,2030,1.0
REGION1,LTBMCCPH1,2031,1.0
REGION1,LTBMCCPH1,2032,1.0
REGION1,LTBMCCPH1,2033,1.0
REGION1,LTBMCCPH1,2034,1.0
REGION1,LTBMCCPH1,2035,1.0
REGION1,LTBMCCPH1,2036,1.0
REGION1,LTBMCCPH1,2037,1.0
REGION1,LTBMCCPH1,2038,1.0
REGION1,LTBMCCPH1,2039,1.0
REGION1,LTBMCCPH1,2040,1.0
REGION1,LTBMCCPH1,2041,1.0
REGION1,LTBMCCPH1,2042,1.0
REGION1,LTBMCCPH1,2043,1.0
REGION1,LTBMCCPH1,2044,1.0
REGION1,LTBMCCPH1,2045,1.0
REGION1,LTBMCCPH1,2046,1.0
REGION1,LTBMCCPH1,2047,1.0
REGION1,LTBMCCPH1,2048,1.0
REGION1,LTBMCCPH1,2049,1.0
REGION1,LTBMCCPH1,2050,1.0
REGION1,LTBMCCPH1,2051,1.0
REGION1,LTBMCCPH1,2052,1.0
REGION1,LTBMCCPH1,2053,1.0
REGION1,LTBMCCPH1,2054,1.0
REGION1,LTBMCCPH1,2055,1.0
REGION1,LTBMCCPH1,2056,1.0
REGION1,LTBMCCPH1,2057,1.0
REGION1,LTBMCCPH1,2058,1.0
REGION1,LTBMCCPH1,2059,1.0
REGION1,LTBMCCPH1,2060,1.0
REGION1,LTBMCHPH3,2015,1.0
REGION1,LTBMCHPH3,2016,1.0
REGION1,LTBMCHPH3,2017,1.0
REGION1,LTBMCHPH3,2018,1.0
REGION1,LTBMCHPH3,2019,1.0
REGION1,LTBMCHPH3,2020,1.0
REGION1,LTBMCHPH3,2021,1.0
REGION1,LTBMCHPH3,2022,1.0
REGION1,LTBMCHPH3,2023,1.0
REGION1,LTBMCHPH3,2024,1.0
REGION1,LTBMCHPH3,2025,1.0
REGION1,LTBMCHPH3,2026,1.0
REGION1,LTBMCHPH3,2027,1.0
REGION1,LTBMCHPH3,2028,1.0
REGION1,LTBMCHPH3,2029,1.0
REGION1,LTBMCHPH3,2030,1.0
REGION1,LTBMCHPH3,2031,1.0
REGION1,LTBMCHPH3,2032,1.0
REGION1,LTBMCHPH3,2033,1.0
REGION1,LTBMCHPH3,2034,1.0
REGION1,LTBMCHPH3,2035,1.0
REGION1,LTBMCHPH3,2036,1.0
REGION1,LTBMCHPH3,2037,1.0
REGION1,LTBMCHPH3,2038,1.0
REGION1,LTBMCHPH3,2039,1.0
REGION1,LTBMCHPH3,2040,1.0
REGION1,LTBMCHPH3,2041,1.0
REGION1,LTBMCHPH3,2042,1.0
REGION1,LTBMCHPH3,2043,1.0
REGION1,LTBMCHPH3,2044,1.0
REGION1,LTBMCHPH3,2045,1.0
REGION1,LTBMCHPH3,2046,1.0
REGION1,LTBMCHPH3,2047,1.0
REGION1,LTBMCHPH3,2048,1.0
REGION1,LTBMCHPH3,2049,1.0
REGION1,LTBMCHPH3,2050,1.0
REGION1,LTBMCHPH3,2051,1.0
REGION1,LTBMCHPH3,2052,1.0
REGION1,LTBMCHPH3,2053,1.0
REGION1,LTBMCHPH3,2054,1.0
REGION1,LTBMCHPH3,2055,1.0
REGION1,LTBMCHPH3,2056,1.0
REGION1,LTBMCHPH3,2057,1.0
REGION1,LTBMCHPH3,2058,1.0
REGION1,LTBMCHPH3,2059,1.0
REGION1,LTBMCHPH3,2060,1.0
REGION1,LTBMCSPN2,2015,1.0
