REGION,TECHNOLOGY,VALUE
REGION1,ATBFHPFH1,20.0
REGION1,ATBMCCPH1,30.0
REGION1,ATBMCHPH3,25.0
REGION1,ATBMCSPN2,35.0
REGION1,ATBMSTPH3,30.0
REGION1,ATCOCHPH3,25.0
REGION1,ATCOCSPN2,40.0
REGION1,ATCOSTPH1,30.0
REGION1,ATCOSTPH3,30.0
REGION1,ATGOCVPH2,40.0
REGION1,ATHFCCPH2,30.0
REGION1,ATHFCHPH3,25.0
REGION1,ATHFGCPH3,25.0
REGION1,ATHFGCPN3,25.0
REGION1,ATHFHPFH1,20.0
REGION1,ATHFHPPH2,20.0
REGION1,ATHFSTPH2,30.0
REGION1,ATHFSTPH3,30.0
REGION1,ATHYDMPH0,80.0
REGION1,ATHYDMPH1,80.0
REGION1,ATHYDMPH2,80.0
REGION1,ATHYDMPH3,80.0
REGION1,ATHYDSPH2,80.0
REGION1,ATHYDSPH3,80.0
REGION1,ATNGCCPH2,30.0
REGION1,ATNGCHPH3,25.0
REGION1,ATNGCHPN3,25.0
REGION1,ATNGCSPN2,30.0
REGION1,ATNGFCFH1,5.0
REGION1,ATNGGCPH2,25.0
REGION1,ATNGGCPN2,25.0
REGION1,ATNGHPFH1,20.0
REGION1,ATNGHPPH2,20.0
REGION1,ATNGSTPH2,30.0
REGION1,ATSODIFH1,25.0
REGION1,ATSOUTPH2,25.0
REGION1,ATWIONPH3,25.0
REGION1,ATWIONPN3,25.0
REGION1,ATWSCHPH2,25.0
REGION1,ATWSSTPH1,30.0
REGION1,BEBFHPFH1,20.0
REGION1,BEBMCCPH1,30.0
REGION1,BEBMCHPH3,25.0
REGION1,BEBMCSPN2,35.0
REGION1,BEBMSTPH3,30.0
REGION1,BECOCHPH3,25.0
REGION1,BECOCSPN2,40.0
REGION1,BECOSTPH1,30.0
REGION1,BECOSTPH3,30.0
REGION1,BEGOCVPH2,40.0
REGION1,BEHFCCPH2,30.0
REGION1,BEHFCHPH3,25.0
REGION1,BEHFGCPH3,25.0
REGION1,BEHFGCPN3,25.0
REGION1,BEHFHPFH1,20.0
REGION1,BEHFHPPH2,20.0
REGION1,BEHFSTPH2,30.0
REGION1,BEHFSTPH3,30.0
REGION1,BEHYDMPH0,80.0
REGION1,BEHYDMPH1,80.0
REGION1,BEHYDMPH2,80.0
REGION1,BEHYDMPH3,80.0
REGION1,BEHYDSPH2,80.0
REGION1,BEHYDSPH3,80.0
REGION1,BENGCCPH2,30.0
REGION1,BENGCHPH3,25.0
REGION1,BENGCHPN3,25.0
REGION1,BENGCSPN2,30.0
REGION1,BENGFCFH1,5.0
REGION1,BENGGCPH2,25.0
