REGION,YEAR,VALUE
REGION1,2015,1.394
REGION1,2016,1.410800651465798
REGION1,2017,1.4276013029315962
REGION1,2018,1.444401954397394
REGION1,2019,1.4612026058631922
REGION1,2020,1.4780032573289903
REGION1,2021,1.488900977198697
REGION1,2022,1.499798697068404
REGION1,2023,1.5106964169381107
REGION1,2024,1.5215941368078179
REGION1,2025,1.5324918566775247
REGION1,2026,1.550654723127036
REGION1,2027,1.5688175895765475
REGION1,2028,1.5869804560260588
REGION1,2029,1.6051433224755702
REGION1,2030,1.6233061889250815
REGION1,2031,1.6328416938110748
REGION1,2032,1.6423771986970686
REGION1,2033,1.651912703583062
REGION1,2034,1.6614482084690558
REGION1,2035,1.6709837133550491
REGION1,2036,1.6846058631921828
REGION1,2037,1.6982280130293164
REGION1,2038,1.71185016286645
REGION1,2039,1.7254723127035836
REGION1,2040,1.7390944625407174
REGION1,2041,1.7568032573289911
REGION1,2042,1.7745120521172648
REGION1,2043,1.792220846905538
REGION1,2044,1.8099296416938118
REGION1,2045,1.8276384364820855
REGION1,2046,1.8435309446254078
REGION1,2047,1.8594234527687301
REGION1,2048,1.8753159609120524
REGION1,2049,1.8912084690553748
REGION1,2050,1.907100977198697
REGION1,2051,1.9223577850162867
REGION1,2052,1.937736647296417
REGION1,2053,1.9532385404747883
REGION1,2054,1.9688644487985867
REGION1,2055,1.9846153643889755
REGION1,2056,1.9985076719396981
REGION1,2057,2.012497225643276
REGION1,2058,2.0265847062227786
REGION1,2059,2.0407707991663377
REGION1,2060,2.055056194760502
