REGION,YEAR,VALUE
REGION1,2015,23.395
REGION1,2016,23.625957665285533
REGION1,2017,23.856915330571066
REGION1,2018,24.0878729958566
REGION1,2019,24.318830661142133
REGION1,2020,24.549788326427663
REGION1,2021,24.695190506215088
REGION1,2022,24.840592686002513
REGION1,2023,24.98599486578994
REGION1,2024,25.131397045577366
REGION1,2025,25.276799225364794
REGION1,2026,25.4483316519546
REGION1,2027,25.619864078544406
REGION1,2028,25.79139650513421
REGION1,2029,25.962928931724008
REGION1,2030,26.134461358313814
REGION1,2031,26.275227526571786
REGION1,2032,26.41599369482976
REGION1,2033,26.556759863087734
REGION1,2034,26.697526031345703
REGION1,2035,26.83829219960367
REGION1,2036,27.001395514321736
REGION1,2037,27.164498829039804
REGION1,2038,27.32760214375787
REGION1,2039,27.49070545847594
REGION1,2040,27.653808773194008
REGION1,2041,27.906682129346056
REGION1,2042,28.159555485498096
REGION1,2043,28.412428841650144
REGION1,2044,28.665302197802184
REGION1,2045,28.91817555395423
REGION1,2046,29.14281138533597
REGION1,2047,29.3674472167177
REGION1,2048,29.592083048099433
REGION1,2049,29.816718879481165
REGION1,2050,30.0413547108629
REGION1,2051,30.161520129706354
REGION1,2052,30.282166210225178
REGION1,2053,30.403294875066077
REGION1,2054,30.524908054566342
REGION1,2055,30.647007686784608
REGION1,2056,30.73894870984496
REGION1,2057,30.83116555597449
REGION1,2058,30.92365905264241
REGION1,2059,31.016430029800333
REGION1,2060,31.10947931988973
