REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBFHPFH1,2015,1.0
REGION1,DKBFHPFH1,2016,1.0
REGION1,DKBFHPFH1,2017,1.0
REGION1,DKBFHPFH1,2018,1.0
REGION1,DKBFHPFH1,2019,1.0
REGION1,DKBFHPFH1,2020,1.0
REGION1,DKBFHPFH1,2021,1.0
REGION1,DKBFHPFH1,2022,1.0
REGION1,DKBFHPFH1,2023,1.0
REGION1,DKBFHPFH1,2024,1.0
REGION1,DKBFHPFH1,2025,1.0
REGION1,DKBFHPFH1,2026,1.0
REGION1,DKBFHPFH1,2027,1.0
REGION1,DKBFHPFH1,2028,1.0
REGION1,DKBFHPFH1,2029,1.0
REGION1,DKBFHPFH1,2030,1.0
REGION1,DKBFHPFH1,2031,1.0
REGION1,DKBFHPFH1,2032,1.0
REGION1,DKBFHPFH1,2033,1.0
REGION1,DKBFHPFH1,2034,1.0
REGION1,DKBFHPFH1,2035,1.0
REGION1,DKBFHPFH1,2036,1.0
REGION1,DKBFHPFH1,2037,1.0
REGION1,DKBFHPFH1,2038,1.0
REGION1,DKBFHPFH1,2039,1.0
REGION1,DKBFHPFH1,2040,1.0
REGION1,DKBFHPFH1,2041,1.0
REGION1,DKBFHPFH1,2042,1.0
REGION1,DKBFHPFH1,2043,1.0
REGION1,DKBFHPFH1,2044,1.0
REGION1,DKBFHPFH1,2045,1.0
REGION1,DKBFHPFH1,2046,1.0
REGION1,DKBFHPFH1,2047,1.0
REGION1,DKBFHPFH1,2048,1.0
REGION1,DKBFHPFH1,2049,1.0
REGION1,DKBFHPFH1,2050,1.0
REGION1,DKBFHPFH1,2051,1.0
REGION1,DKBFHPFH1,2052,1.0
REGION1,DKBFHPFH1,2053,1.0
REGION1,DKBFHPFH1,2054,1.0
REGION1,DKBFHPFH1,2055,1.0
REGION1,DKBFHPFH1,2056,1.0
REGION1,DKBFHPFH1,2057,1.0
REGION1,DKBFHPFH1,2058,1.0
REGION1,DKBFHPFH1,2059,1.0
REGION1,DKBFHPFH1,2060,1.0
REGION1,DKBMCCPH1,2015,1.0
REGION1,DKBMCCPH1,2016,1.0
REGION1,DKBMCCPH1,2017,1.0
REGION1,DKBMCCPH1,2018,1.0
REGION1,DKBMCCPH1,2019,1.0
REGION1,DKBMCCPH1,2020,1.0
REGION1,DKBMCCPH1,2021,1.0
REGION1,DKBMCCPH1,2022,1.0
REGION1,DKBMCCPH1,2023,1.0
REGION1,DKBMCCPH1,2024,1.0
REGION1,DKBMCCPH1,2025,1.0
REGION1,DKBMCCPH1,2026,1.0
REGION1,DKBMCCPH1,2027,1.0
REGION1,DKBMCCPH1,2028,1.0
REGION1,DKBMCCPH1,2029,1.0
REGION1,DKBMCCPH1,2030,1.0
REGION1,DKBMCCPH1,2031,1.0
REGION1,DKBMCCPH1,2032,1.0
REGION1,DKBMCCPH1,2033,1.0
REGION1,DKBMCCPH1,2034,1.0
REGION1,DKBMCCPH1,2035,1.0
REGION1,DKBMCCPH1,2036,1.0
REGION1,DKBMCCPH1,2037,1.0
REGION1,DKBMCCPH1,2038,1.0
REGION1,DKBMCCPH1,2039,1.0
REGION1,DKBMCCPH1,2040,1.0
REGION1,DKBMCCPH1,2041,1.0
REGION1,DKBMCCPH1,2042,1.0
REGION1,DKBMCCPH1,2043,1.0
REGION1,DKBMCCPH1,2044,1.0
REGION1,DKBMCCPH1,2045,1.0
REGION1,DKBMCCPH1,2046,1.0
REGION1,DKBMCCPH1,2047,1.0
REGION1,DKBMCCPH1,2048,1.0
REGION1,DKBMCCPH1,2049,1.0
REGION1,DKBMCCPH1,2050,1.0
REGION1,DKBMCCPH1,2051,1.0
REGION1,DKBMCCPH1,2052,1.0
REGION1,DKBMCCPH1,2053,1.0
REGION1,DKBMCCPH1,2054,1.0
REGION1,DKBMCCPH1,2055,1.0
REGION1,DKBMCCPH1,2056,1.0
REGION1,DKBMCCPH1,2057,1.0
REGION1,DKBMCCPH1,2058,1.0
REGION1,DKBMCCPH1,2059,1.0
REGION1,DKBMCCPH1,2060,1.0
REGION1,DKBMCHPH3,2015,1.0
REGION1,DKBMCHPH3,2016,1.0
REGION1,DKBMCHPH3,2017,1.0
REGION1,DKBMCHPH3,2018,1.0
REGION1,DKBMCHPH3,2019,1.0
REGION1,DKBMCHPH3,2020,1.0
REGION1,DKBMCHPH3,2021,1.0
REGION1,DKBMCHPH3,2022,1.0
REGION1,DKBMCHPH3,2023,1.0
REGION1,DKBMCHPH3,2024,1.0
REGION1,DKBMCHPH3,2025,1.0
REGION1,DKBMCHPH3,2026,1.0
REGION1,DKBMCHPH3,2027,1.0
REGION1,DKBMCHPH3,2028,1.0
REGION1,DKBMCHPH3,2029,1.0
REGION1,DKBMCHPH3,2030,1.0
REGION1,DKBMCHPH3,2031,1.0
REGION1,DKBMCHPH3,2032,1.0
REGION1,DKBMCHPH3,2033,1.0
REGION1,DKBMCHPH3,2034,1.0
REGION1,DKBMCHPH3,2035,1.0
REGION1,DKBMCHPH3,2036,1.0
REGION1,DKBMCHPH3,2037,1.0
REGION1,DKBMCHPH3,2038,1.0
REGION1,DKBMCHPH3,2039,1.0
REGION1,DKBMCHPH3,2040,1.0
REGION1,DKBMCHPH3,2041,1.0
REGION1,DKBMCHPH3,2042,1.0
REGION1,DKBMCHPH3,2043,1.0
REGION1,DKBMCHPH3,2044,1.0
REGION1,DKBMCHPH3,2045,1.0
REGION1,DKBMCHPH3,2046,1.0
REGION1,DKBMCHPH3,2047,1.0
REGION1,DKBMCHPH3,2048,1.0
REGION1,DKBMCHPH3,2049,1.0
REGION1,DKBMCHPH3,2050,1.0
REGION1,DKBMCHPH3,2051,1.0
REGION1,DKBMCHPH3,2052,1.0
REGION1,DKBMCHPH3,2053,1.0
REGION1,DKBMCHPH3,2054,1.0
REGION1,DKBMCHPH3,2055,1.0
REGION1,DKBMCHPH3,2056,1.0
REGION1,DKBMCHPH3,2057,1.0
REGION1,DKBMCHPH3,2058,1.0
REGION1,DKBMCHPH3,2059,1.0
REGION1,DKBMCHPH3,2060,1.0
REGION1,DKBMCSPN2,2015,1.0
REGION1,DKBMCSPN2,2016,1.0
REGION1,DKBMCSPN2,2017,1.0
REGION1,DKBMCSPN2,2018,1.0
REGION1,DKBMCSPN2,2019,1.0
REGION1,DKBMCSPN2,2020,1.0
REGION1,DKBMCSPN2,2021,1.0
REGION1,DKBMCSPN2,2022,1.0
REGION1,DKBMCSPN2,2023,1.0
REGION1,DKBMCSPN2,2024,1.0
REGION1,DKBMCSPN2,2025,1.0
REGION1,DKBMCSPN2,2026,1.0
REGION1,DKBMCSPN2,2027,1.0
REGION1,DKBMCSPN2,2028,1.0
REGION1,DKBMCSPN2,2029,1.0
REGION1,DKBMCSPN2,2030,1.0
REGION1,DKBMCSPN2,2031,1.0
REGION1,DKBMCSPN2,2032,1.0
REGION1,DKBMCSPN2,2033,1.0
REGION1,DKBMCSPN2,2034,1.0
REGION1,DKBMCSPN2,2035,1.0
REGION1,DKBMCSPN2,2036,1.0
REGION1,DKBMCSPN2,2037,1.0
REGION1,DKBMCSPN2,2038,1.0
REGION1,DKBMCSPN2,2039,1.0
REGION1,DKBMCSPN2,2040,1.0
REGION1,DKBMCSPN2,2041,1.0
REGION1,DKBMCSPN2,2042,1.0
REGION1,DKBMCSPN2,2043,1.0
REGION1,DKBMCSPN2,2044,1.0
REGION1,DKBMCSPN2,2045,1.0
REGION1,DKBMCSPN2,2046,1.0
REGION1,DKBMCSPN2,2047,1.0
REGION1,DKBMCSPN2,2048,1.0
REGION1,DKBMCSPN2,2049,1.0
REGION1,DKBMCSPN2,2050,1.0
REGION1,DKBMCSPN2,2051,1.0
REGION1,DKBMCSPN2,2052,1.0
REGION1,DKBMCSPN2,2053,1.0
REGION1,DKBMCSPN2,2054,1.0
REGION1,DKBMCSPN2,2055,1.0
REGION1,DKBMCSPN2,2056,1.0
REGION1,DKBMCSPN2,2057,1.0
REGION1,DKBMCSPN2,2058,1.0
REGION1,DKBMCSPN2,2059,1.0
REGION1,DKBMCSPN2,2060,1.0
REGION1,DKBMSTPH3,2015,1.0
REGION1,DKBMSTPH3,2016,1.0
REGION1,DKBMSTPH3,2017,1.0
REGION1,DKBMSTPH3,2018,1.0
REGION1,DKBMSTPH3,2019,1.0
REGION1,DKBMSTPH3,2020,1.0
REGION1,DKBMSTPH3,2021,1.0
REGION1,DKBMSTPH3,2022,1.0
REGION1,DKBMSTPH3,2023,1.0
REGION1,DKBMSTPH3,2024,1.0
REGION1,DKBMSTPH3,2025,1.0
REGION1,DKBMSTPH3,2026,1.0
REGION1,DKBMSTPH3,2027,1.0
REGION1,DKBMSTPH3,2028,1.0
REGION1,DKBMSTPH3,2029,1.0
REGION1,DKBMSTPH3,2030,1.0
REGION1,DKBMSTPH3,2031,1.0
REGION1,DKBMSTPH3,2032,1.0
REGION1,DKBMSTPH3,2033,1.0
REGION1,DKBMSTPH3,2034,1.0
REGION1,DKBMSTPH3,2035,1.0
REGION1,DKBMSTPH3,2036,1.0
REGION1,DKBMSTPH3,2037,1.0
REGION1,DKBMSTPH3,2038,1.0
REGION1,DKBMSTPH3,2039,1.0
REGION1,DKBMSTPH3,2040,1.0
REGION1,DKBMSTPH3,2041,1.0
REGION1,DKBMSTPH3,2042,1.0
REGION1,DKBMSTPH3,2043,1.0
REGION1,DKBMSTPH3,2044,1.0
REGION1,DKBMSTPH3,2045,1.0
REGION1,DKBMSTPH3,2046,1.0
REGION1,DKBMSTPH3,2047,1.0
REGION1,DKBMSTPH3,2048,1.0
REGION1,DKBMSTPH3,2049,1.0
REGION1,DKBMSTPH3,2050,1.0
REGION1,DKBMSTPH3,2051,1.0
REGION1,DKBMSTPH3,2052,1.0
REGION1,DKBMSTPH3,2053,1.0
REGION1,DKBMSTPH3,2054,1.0
REGION1,DKBMSTPH3,2055,1.0
REGION1,DKBMSTPH3,2056,1.0
REGION1,DKBMSTPH3,2057,1.0
REGION1,DKBMSTPH3,2058,1.0
REGION1,DKBMSTPH3,2059,1.0
REGION1,DKBMSTPH3,2060,1.0
REGION1,DKCOCHPH3,2015,1.0
REGION1,DKCOCHPH3,2016,1.0
REGION1,DKCOCHPH3,2017,1.0
REGION1,DKCOCHPH3,2018,1.0
REGION1,DKCOCHPH3,2019,1.0
REGION1,DKCOCHPH3,2020,1.0
REGION1,DKCOCHPH3,2021,1.0
