REGION,YEAR,VALUE
REGION1,2015,91.611
REGION1,2016,92.14290042870753
REGION1,2017,92.67480085741506
REGION1,2018,93.20670128612258
REGION1,2019,93.73860171483012
REGION1,2020,94.27050214353764
REGION1,2021,94.51051190854238
REGION1,2022,94.75052167354714
REGION1,2023,94.9905314385519
REGION1,2024,95.23054120355665
REGION1,2025,95.47055096856141
REGION1,2026,95.9418428707526
REGION1,2027,96.41313477294376
REGION1,2028,96.88442667513493
REGION1,2029,97.3557185773261
REGION1,2030,97.82701047951727
REGION1,2031,98.65177130835183
REGION1,2032,99.47653213718638
REGION1,2033,100.30129296602094
REGION1,2034,101.12605379485548
REGION1,2035,101.95081462369002
REGION1,2036,102.7619991425849
REGION1,2037,103.5731836614798
REGION1,2038,104.38436818037468
REGION1,2039,105.19555269926957
REGION1,2040,106.00673721816446
REGION1,2041,106.78204148936167
REGION1,2042,107.55734576055887
REGION1,2043,108.33265003175607
REGION1,2044,109.10795430295327
REGION1,2045,109.88325857415047
REGION1,2046,110.7327476818037
REGION1,2047,111.58223678945691
REGION1,2048,112.43172589711014
REGION1,2049,113.28121500476337
REGION1,2050,114.13070411241661
REGION1,2051,114.98668439325974
REGION1,2052,115.8490845262092
REGION1,2053,116.71795266015577
REGION1,2054,117.59333730510696
REGION1,2055,118.47528733489527
REGION1,2056,119.30461434623952
REGION1,2057,120.13974664666318
REGION1,2058,120.98072487318981
REGION1,2059,121.82758994730213
REGION1,2060,122.68038307693323
