REGION,YEAR,VALUE
REGION1,2015,6.106
REGION1,2016,6.150713066845818
REGION1,2017,6.195426133691636
REGION1,2018,6.240139200537454
REGION1,2019,6.284852267383273
REGION1,2020,6.329565334229091
REGION1,2021,6.410787235471954
REGION1,2022,6.492009136714815
REGION1,2023,6.573231037957678
REGION1,2024,6.654452939200538
REGION1,2025,6.7356748404434
REGION1,2026,6.766440712126301
REGION1,2027,6.797206583809204
REGION1,2028,6.827972455492106
REGION1,2029,6.858738327175008
REGION1,2030,6.889504198857909
REGION1,2031,6.94283170977494
REGION1,2032,6.99615922069197
REGION1,2033,7.049486731609
REGION1,2034,7.102814242526032
REGION1,2035,7.156141753443063
REGION1,2036,7.236953443063487
REGION1,2037,7.317765132683909
REGION1,2038,7.3985768223043324
REGION1,2039,7.479388511924755
REGION1,2040,7.56020020154518
REGION1,2041,7.6553692979509576
REGION1,2042,7.7505383943567345
REGION1,2043,7.845707490762512
REGION1,2044,7.94087658716829
REGION1,2045,8.036045683574068
REGION1,2046,8.093475310715485
REGION1,2047,8.150904937856902
REGION1,2048,8.20833456499832
REGION1,2049,8.265764192139738
REGION1,2050,8.323193819281155
REGION1,2051,8.381456176016123
REGION1,2052,8.440126369248235
REGION1,2053,8.49920725383297
REGION1,2054,8.5587017046098
REGION1,2055,8.618612616542068
REGION1,2056,8.661705679624777
REGION1,2057,8.7050142080229
REGION1,2058,8.748539279063014
REGION1,2059,8.792281975458328
REGION1,2060,8.836243385335619
