REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DEBFHPFH1,2015,1.0
REGION1,DEBFHPFH1,2016,1.0
REGION1,DEBFHPFH1,2017,1.0
REGION1,DEBFHPFH1,2018,1.0
REGION1,DEBFHPFH1,2019,1.0
REGION1,DEBFHPFH1,2020,1.0
REGION1,DEBFHPFH1,2021,1.0
REGION1,DEBFHPFH1,2022,1.0
REGION1,DEBFHPFH1,2023,1.0
REGION1,DEBFHPFH1,2024,1.0
REGION1,DEBFHPFH1,2025,1.0
REGION1,DEBFHPFH1,2026,1.0
REGION1,DEBFHPFH1,2027,1.0
REGION1,DEBFHPFH1,2028,1.0
REGION1,DEBFHPFH1,2029,1.0
REGION1,DEBFHPFH1,2030,1.0
REGION1,DEBFHPFH1,2031,1.0
REGION1,DEBFHPFH1,2032,1.0
REGION1,DEBFHPFH1,2033,1.0
REGION1,DEBFHPFH1,2034,1.0
REGION1,DEBFHPFH1,2035,1.0
REGION1,DEBFHPFH1,2036,1.0
REGION1,DEBFHPFH1,2037,1.0
REGION1,DEBFHPFH1,2038,1.0
REGION1,DEBFHPFH1,2039,1.0
REGION1,DEBFHPFH1,2040,1.0
REGION1,DEBFHPFH1,2041,1.0
REGION1,DEBFHPFH1,2042,1.0
REGION1,DEBFHPFH1,2043,1.0
REGION1,DEBFHPFH1,2044,1.0
REGION1,DEBFHPFH1,2045,1.0
REGION1,DEBFHPFH1,2046,1.0
REGION1,DEBFHPFH1,2047,1.0
REGION1,DEBFHPFH1,2048,1.0
REGION1,DEBFHPFH1,2049,1.0
REGION1,DEBFHPFH1,2050,1.0
REGION1,DEBFHPFH1,2051,1.0
REGION1,DEBFHPFH1,2052,1.0
REGION1,DEBFHPFH1,2053,1.0
REGION1,DEBFHPFH1,2054,1.0
REGION1,DEBFHPFH1,2055,1.0
REGION1,DEBFHPFH1,2056,1.0
REGION1,DEBFHPFH1,2057,1.0
REGION1,DEBFHPFH1,2058,1.0
REGION1,DEBFHPFH1,2059,1.0
REGION1,DEBFHPFH1,2060,1.0
REGION1,DEBMCCPH1,2015,1.0
REGION1,DEBMCCPH1,2016,1.0
REGION1,DEBMCCPH1,2017,1.0
REGION1,DEBMCCPH1,2018,1.0
REGION1,DEBMCCPH1,2019,1.0
REGION1,DEBMCCPH1,2020,1.0
REGION1,DEBMCCPH1,2021,1.0
REGION1,DEBMCCPH1,2022,1.0
REGION1,DEBMCCPH1,2023,1.0
REGION1,DEBMCCPH1,2024,1.0
REGION1,DEBMCCPH1,2025,1.0
REGION1,DEBMCCPH1,2026,1.0
REGION1,DEBMCCPH1,2027,1.0
REGION1,DEBMCCPH1,2028,1.0
REGION1,DEBMCCPH1,2029,1.0
REGION1,DEBMCCPH1,2030,1.0
REGION1,DEBMCCPH1,2031,1.0
REGION1,DEBMCCPH1,2032,1.0
REGION1,DEBMCCPH1,2033,1.0
REGION1,DEBMCCPH1,2034,1.0
REGION1,DEBMCCPH1,2035,1.0
REGION1,DEBMCCPH1,2036,1.0
REGION1,DEBMCCPH1,2037,1.0
REGION1,DEBMCCPH1,2038,1.0
REGION1,DEBMCCPH1,2039,1.0
REGION1,DEBMCCPH1,2040,1.0
REGION1,DEBMCCPH1,2041,1.0
REGION1,DEBMCCPH1,2042,1.0
REGION1,DEBMCCPH1,2043,1.0
REGION1,DEBMCCPH1,2044,1.0
REGION1,DEBMCCPH1,2045,1.0
REGION1,DEBMCCPH1,2046,1.0
REGION1,DEBMCCPH1,2047,1.0
REGION1,DEBMCCPH1,2048,1.0
REGION1,DEBMCCPH1,2049,1.0
REGION1,DEBMCCPH1,2050,1.0
REGION1,DEBMCCPH1,2051,1.0
REGION1,DEBMCCPH1,2052,1.0
REGION1,DEBMCCPH1,2053,1.0
REGION1,DEBMCCPH1,2054,1.0
REGION1,DEBMCCPH1,2055,1.0
REGION1,DEBMCCPH1,2056,1.0
REGION1,DEBMCCPH1,2057,1.0
REGION1,DEBMCCPH1,2058,1.0
REGION1,DEBMCCPH1,2059,1.0
REGION1,DEBMCCPH1,2060,1.0
REGION1,DEBMCHPH3,2015,1.0
REGION1,DEBMCHPH3,2016,1.0
REGION1,DEBMCHPH3,2017,1.0
REGION1,DEBMCHPH3,2018,1.0
REGION1,DEBMCHPH3,2019,1.0
REGION1,DEBMCHPH3,2020,1.0
REGION1,DEBMCHPH3,2021,1.0
REGION1,DEBMCHPH3,2022,1.0
REGION1,DEBMCHPH3,2023,1.0
REGION1,DEBMCHPH3,2024,1.0
REGION1,DEBMCHPH3,2025,1.0
REGION1,DEBMCHPH3,2026,1.0
REGION1,DEBMCHPH3,2027,1.0
REGION1,DEBMCHPH3,2028,1.0
REGION1,DEBMCHPH3,2029,1.0
REGION1,DEBMCHPH3,2030,1.0
REGION1,DEBMCHPH3,2031,1.0
REGION1,DEBMCHPH3,2032,1.0
REGION1,DEBMCHPH3,2033,1.0
REGION1,DEBMCHPH3,2034,1.0
REGION1,DEBMCHPH3,2035,1.0
REGION1,DEBMCHPH3,2036,1.0
REGION1,DEBMCHPH3,2037,1.0
REGION1,DEBMCHPH3,2038,1.0
REGION1,DEBMCHPH3,2039,1.0
REGION1,DEBMCHPH3,2040,1.0
REGION1,DEBMCHPH3,2041,1.0
REGION1,DEBMCHPH3,2042,1.0
REGION1,DEBMCHPH3,2043,1.0
REGION1,DEBMCHPH3,2044,1.0
REGION1,DEBMCHPH3,2045,1.0
REGION1,DEBMCHPH3,2046,1.0
REGION1,DEBMCHPH3,2047,1.0
REGION1,DEBMCHPH3,2048,1.0
REGION1,DEBMCHPH3,2049,1.0
