REGION,YEAR,VALUE
REGION1,2015,10.155
REGION1,2016,10.261894736842105
REGION1,2017,10.368789473684211
REGION1,2018,10.475684210526316
REGION1,2019,10.582578947368422
REGION1,2020,10.689473684210528
REGION1,2021,10.740375939849626
REGION1,2022,10.791278195488726
REGION1,2023,10.842180451127822
REGION1,2024,10.89308270676692
REGION1,2025,10.943984962406017
REGION1,2026,10.994887218045113
REGION1,2027,11.045789473684213
REGION1,2028,11.09669172932331
REGION1,2029,11.147593984962407
REGION1,2030,11.198496240601504
REGION1,2031,11.2493984962406
REGION1,2032,11.300300751879698
REGION1,2033,11.351203007518794
REGION1,2034,11.402105263157893
REGION1,2035,11.453007518796989
REGION1,2036,11.493729323308267
REGION1,2037,11.534451127819548
REGION1,2038,11.575172932330826
REGION1,2039,11.615894736842105
REGION1,2040,11.656616541353381
REGION1,2041,11.69733834586466
REGION1,2042,11.738060150375938
REGION1,2043,11.778781954887219
REGION1,2044,11.819503759398495
REGION1,2045,11.860225563909774
REGION1,2046,11.90094736842105
REGION1,2047,11.94166917293233
REGION1,2048,11.982390977443611
REGION1,2049,12.023112781954888
REGION1,2050,12.063834586466168
REGION1,2051,12.104331173279308
REGION1,2052,12.144599352496895
REGION1,2053,12.18463594415253
REGION1,2054,12.224437778626097
REGION1,2055,12.264001697058845
REGION1,2056,12.302832404021721
REGION1,2057,12.3409221330899
REGION1,2058,12.378263249369274
REGION1,2059,12.41484825204471
REGION1,2060,12.450669776889102
