REGION,TECHNOLOGY,VALUE
REGION1,ATBFHPFH1,31.536
REGION1,ATBMCCPH1,31.536
REGION1,ATBMCHPH3,31.536
REGION1,ATBMCSPN2,31.536
REGION1,ATBMSTPH3,31.536
REGION1,ATCOCHPH3,31.536
REGION1,ATCOCSPN2,31.536
REGION1,ATCOSTPH1,31.536
REGION1,ATCOSTPH3,31.536
REGION1,ATELCHPH1,31.536
REGION1,ATELCZPH1,31.536
REGION1,ATELDEPH1,31.536
REGION1,ATELHUPH1,31.536
REGION1,ATELITPH1,31.536
REGION1,ATELSIPH1,31.536
REGION1,ATGOCVPH2,31.536
REGION1,ATHFCCPH2,31.536
REGION1,ATHFCHPH3,31.536
REGION1,ATHFGCPH3,31.536
REGION1,ATHFGCPN3,31.536
REGION1,ATHFHPFH1,31.536
REGION1,ATHFHPPH2,31.536
REGION1,ATHFSTPH2,31.536
REGION1,ATHFSTPH3,31.536
REGION1,ATHYDMPH0,31.536
REGION1,ATHYDMPH1,31.536
REGION1,ATHYDMPH2,31.536
REGION1,ATHYDMPH3,31.536
REGION1,ATHYDSPH2,31.536
REGION1,ATHYDSPH3,31.536
REGION1,ATNGCCPH2,31.536
REGION1,ATNGCHPH3,31.536
REGION1,ATNGCHPN3,31.536
REGION1,ATNGCSPN2,31.536
REGION1,ATNGFCFH1,31.536
REGION1,ATNGGCPH2,31.536
REGION1,ATNGGCPN2,31.536
REGION1,ATNGHPFH1,31.536
REGION1,ATNGHPPH2,31.536
REGION1,ATNGSTPH2,31.536
REGION1,ATSODIFH1,31.536
REGION1,ATSOUTPH2,31.536
REGION1,ATWIONPH3,31.536
REGION1,ATWIONPN3,31.536
REGION1,ATWSCHPH2,31.536
REGION1,ATWSSTPH1,31.536
REGION1,BEBFHPFH1,31.536
REGION1,BEBMCCPH1,31.536
REGION1,BEBMCHPH3,31.536
REGION1,BEBMCSPN2,31.536
REGION1,BEBMSTPH3,31.536
REGION1,BECOCHPH3,31.536
REGION1,BECOCSPN2,31.536
REGION1,BECOSTPH1,31.536
REGION1,BECOSTPH3,31.536
REGION1,BEELFRPH1,31.536
REGION1,BEELLUPH1,31.536
REGION1,BEELNLPH1,31.536
REGION1,BEGOCVPH2,31.536
REGION1,BEHFCCPH2,31.536
REGION1,BEHFCHPH3,31.536
REGION1,BEHFGCPH3,31.536
REGION1,BEHFGCPN3,31.536
REGION1,BEHFHPFH1,31.536
REGION1,BEHFHPPH2,31.536
REGION1,BEHFSTPH2,31.536
REGION1,BEHFSTPH3,31.536
REGION1,BEHYDMPH0,31.536
REGION1,BEHYDMPH1,31.536
REGION1,BEHYDMPH2,31.536
REGION1,BEHYDMPH3,31.536
REGION1,BEHYDSPH2,31.536
REGION1,BEHYDSPH3,31.536
REGION1,BENGCCPH2,31.536
REGION1,BENGCHPH3,31.536
REGION1,BENGCHPN3,31.536
REGION1,BENGCSPN2,31.536
REGION1,BENGFCFH1,31.536
REGION1,BENGGCPH2,31.536
REGION1,BENGGCPN2,31.536
REGION1,BENGHPFH1,31.536
REGION1,BENGHPPH2,31.536
REGION1,BENGSTPH2,31.536
REGION1,BENUG2PH3,31.536
REGION1,BENUG3PN3,31.536
REGION1,BEOCWVPH1,31.536
REGION1,BESODIFH1,31.536
REGION1,BESOUTPH2,31.536
REGION1,BEWIOFPH3,31.536
REGION1,BEWIOFPN2,31.536
REGION1,BEWIOFPN3,31.536
REGION1,BEWIONPH3,31.536
REGION1,BEWIONPN3,31.536
REGION1,BEWSCHPH2,31.536
REGION1,BEWSSTPH1,31.536
REGION1,BGBFHPFH1,31.536
REGION1,BGBMCCPH1,31.536
REGION1,BGBMCHPH3,31.536
REGION1,BGBMCSPN2,31.536
REGION1,BGBMSTPH3,31.536
REGION1,BGCOCHPH3,31.536
REGION1,BGCOCSPN2,31.536
REGION1,BGCOSTPH1,31.536
REGION1,BGCOSTPH3,31.536
REGION1,BGELGRPH1,31.536
REGION1,BGELROPH1,31.536
REGION1,BGGOCVPH2,31.536
REGION1,BGHFCCPH2,31.536
REGION1,BGHFCHPH3,31.536
REGION1,BGHFGCPH3,31.536
REGION1,BGHFGCPN3,31.536
REGION1,BGHFHPFH1,31.536
REGION1,BGHFHPPH2,31.536
REGION1,BGHFSTPH2,31.536
REGION1,BGHFSTPH3,31.536
REGION1,BGHYDMPH0,31.536
REGION1,BGHYDMPH1,31.536
REGION1,BGHYDMPH2,31.536
REGION1,BGHYDMPH3,31.536
REGION1,BGHYDSPH2,31.536
REGION1,BGHYDSPH3,31.536
REGION1,BGNGCCPH2,31.536
REGION1,BGNGCHPH3,31.536
REGION1,BGNGCHPN3,31.536
REGION1,BGNGCSPN2,31.536
REGION1,BGNGFCFH1,31.536
REGION1,BGNGGCPH2,31.536
REGION1,BGNGGCPN2,31.536
REGION1,BGNGHPFH1,31.536
REGION1,BGNGHPPH2,31.536
REGION1,BGNGSTPH2,31.536
REGION1,BGNUG2PH3,31.536
REGION1,BGNUG3PN3,31.536
REGION1,BGOCWVPH1,31.536
REGION1,BGSODIFH1,31.536
REGION1,BGSOUTPH2,31.536
REGION1,BGWIONPH3,31.536
REGION1,BGWSCHPH2,31.536
REGION1,BGWSSTPH1,31.536
