REGION,TECHNOLOGY,YEAR,VALUE
REGION1,PLBFHPFH1,2015,1.0
REGION1,PLBFHPFH1,2016,1.0
REGION1,PLBFHPFH1,2017,1.0
REGION1,PLBFHPFH1,2018,1.0
REGION1,PLBFHPFH1,2019,1.0
REGION1,PLBFHPFH1,2020,1.0
REGION1,PLBFHPFH1,2021,1.0
REGION1,PLBFHPFH1,2022,1.0
REGION1,PLBFHPFH1,2023,1.0
REGION1,PLBFHPFH1,2024,1.0
REGION1,PLBFHPFH1,2025,1.0
REGION1,PLBFHPFH1,2026,1.0
REGION1,PLBFHPFH1,2027,1.0
REGION1,PLBFHPFH1,2028,1.0
REGION1,PLBFHPFH1,2029,1.0
REGION1,PLBFHPFH1,2030,1.0
REGION1,PLBFHPFH1,2031,1.0
REGION1,PLBFHPFH1,2032,1.0
REGION1,PLBFHPFH1,2033,1.0
REGION1,PLBFHPFH1,2034,1.0
REGION1,PLBFHPFH1,2035,1.0
REGION1,PLBFHPFH1,2036,1.0
REGION1,PLBFHPFH1,2037,1.0
REGION1,PLBFHPFH1,2038,1.0
REGION1,PLBFHPFH1,2039,1.0
REGION1,PLBFHPFH1,2040,1.0
REGION1,PLBFHPFH1,2041,1.0
REGION1,PLBFHPFH1,2042,1.0
REGION1,PLBFHPFH1,2043,1.0
REGION1,PLBFHPFH1,2044,1.0
REGION1,PLBFHPFH1,2045,1.0
REGION1,PLBFHPFH1,2046,1.0
REGION1,PLBFHPFH1,2047,1.0
REGION1,PLBFHPFH1,2048,1.0
REGION1,PLBFHPFH1,2049,1.0
REGION1,PLBFHPFH1,2050,1.0
REGION1,PLBFHPFH1,2051,1.0
REGION1,PLBFHPFH1,2052,1.0
REGION1,PLBFHPFH1,2053,1.0
REGION1,PLBFHPFH1,2054,1.0
REGION1,PLBFHPFH1,2055,1.0
REGION1,PLBFHPFH1,2056,1.0
REGION1,PLBFHPFH1,2057,1.0
REGION1,PLBFHPFH1,2058,1.0
REGION1,PLBFHPFH1,2059,1.0
REGION1,PLBFHPFH1,2060,1.0
REGION1,PLBMCCPH1,2015,1.0
REGION1,PLBMCCPH1,2016,1.0
REGION1,PLBMCCPH1,2017,1.0
REGION1,PLBMCCPH1,2018,1.0
REGION1,PLBMCCPH1,2019,1.0
REGION1,PLBMCCPH1,2020,1.0
REGION1,PLBMCCPH1,2021,1.0
REGION1,PLBMCCPH1,2022,1.0
REGION1,PLBMCCPH1,2023,1.0
REGION1,PLBMCCPH1,2024,1.0
REGION1,PLBMCCPH1,2025,1.0
REGION1,PLBMCCPH1,2026,1.0
REGION1,PLBMCCPH1,2027,1.0
REGION1,PLBMCCPH1,2028,1.0
REGION1,PLBMCCPH1,2029,1.0
REGION1,PLBMCCPH1,2030,1.0
REGION1,PLBMCCPH1,2031,1.0
REGION1,PLBMCCPH1,2032,1.0
REGION1,PLBMCCPH1,2033,1.0
REGION1,PLBMCCPH1,2034,1.0
REGION1,PLBMCCPH1,2035,1.0
REGION1,PLBMCCPH1,2036,1.0
REGION1,PLBMCCPH1,2037,1.0
REGION1,PLBMCCPH1,2038,1.0
REGION1,PLBMCCPH1,2039,1.0
REGION1,PLBMCCPH1,2040,1.0
REGION1,PLBMCCPH1,2041,1.0
REGION1,PLBMCCPH1,2042,1.0
REGION1,PLBMCCPH1,2043,1.0
REGION1,PLBMCCPH1,2044,1.0
REGION1,PLBMCCPH1,2045,1.0
REGION1,PLBMCCPH1,2046,1.0
REGION1,PLBMCCPH1,2047,1.0
REGION1,PLBMCCPH1,2048,1.0
REGION1,PLBMCCPH1,2049,1.0
REGION1,PLBMCCPH1,2050,1.0
REGION1,PLBMCCPH1,2051,1.0
REGION1,PLBMCCPH1,2052,1.0
REGION1,PLBMCCPH1,2053,1.0
REGION1,PLBMCCPH1,2054,1.0
REGION1,PLBMCCPH1,2055,1.0
REGION1,PLBMCCPH1,2056,1.0
REGION1,PLBMCCPH1,2057,1.0
REGION1,PLBMCCPH1,2058,1.0
REGION1,PLBMCCPH1,2059,1.0
REGION1,PLBMCCPH1,2060,1.0
REGION1,PLBMCHPH3,2015,1.0
REGION1,PLBMCHPH3,2016,1.0
REGION1,PLBMCHPH3,2017,1.0
REGION1,PLBMCHPH3,2018,1.0
REGION1,PLBMCHPH3,2019,1.0
REGION1,PLBMCHPH3,2020,1.0
REGION1,PLBMCHPH3,2021,1.0
REGION1,PLBMCHPH3,2022,1.0
REGION1,PLBMCHPH3,2023,1.0
REGION1,PLBMCHPH3,2024,1.0
REGION1,PLBMCHPH3,2025,1.0
REGION1,PLBMCHPH3,2026,1.0
REGION1,PLBMCHPH3,2027,1.0
REGION1,PLBMCHPH3,2028,1.0
REGION1,PLBMCHPH3,2029,1.0
REGION1,PLBMCHPH3,2030,1.0
REGION1,PLBMCHPH3,2031,1.0
REGION1,PLBMCHPH3,2032,1.0
REGION1,PLBMCHPH3,2033,1.0
REGION1,PLBMCHPH3,2034,1.0
REGION1,PLBMCHPH3,2035,1.0
REGION1,PLBMCHPH3,2036,1.0
REGION1,PLBMCHPH3,2037,1.0
REGION1,PLBMCHPH3,2038,1.0
REGION1,PLBMCHPH3,2039,1.0
REGION1,PLBMCHPH3,2040,1.0
REGION1,PLBMCHPH3,2041,1.0
REGION1,PLBMCHPH3,2042,1.0
REGION1,PLBMCHPH3,2043,1.0
