REGION,YEAR,VALUE
REGION1,2015,7.1
REGION1,2016,7.1739210747271205
REGION1,2017,7.24784214945424
REGION1,2018,7.3217632241813595
REGION1,2019,7.39568429890848
REGION1,2020,7.4696053736356
REGION1,2021,7.524450041981528
REGION1,2022,7.579294710327456
REGION1,2023,7.634139378673384
REGION1,2024,7.688984047019313
REGION1,2025,7.7438287153652405
REGION1,2026,7.7879429051217475
REGION1,2027,7.832057094878254
REGION1,2028,7.876171284634761
REGION1,2029,7.920285474391269
REGION1,2030,7.964399664147776
REGION1,2031,7.99718723761545
REGION1,2032,8.029974811083125
REGION1,2033,8.062762384550798
REGION1,2034,8.095549958018472
REGION1,2035,8.128337531486146
REGION1,2036,8.18198992443325
REGION1,2037,8.235642317380352
REGION1,2038,8.289294710327455
REGION1,2039,8.342947103274557
REGION1,2040,8.39659949622166
REGION1,2041,8.458597816960534
REGION1,2042,8.520596137699409
REGION1,2043,8.582594458438283
REGION1,2044,8.644592779177158
REGION1,2045,8.706591099916032
REGION1,2046,8.79064651553316
REGION1,2047,8.87470193115029
REGION1,2048,8.958757346767419
REGION1,2049,9.042812762384548
REGION1,2050,9.126868178001676
REGION1,2051,9.199883123425689
REGION1,2052,9.273482188413094
REGION1,2053,9.347670045920399
REGION1,2054,9.422451406287761
REGION1,2055,9.497831017538063
REGION1,2056,9.573813665678367
REGION1,2057,9.650404175003795
REGION1,2058,9.727607408403825
REGION1,2059,9.805428267671056
REGION1,2060,9.883871693812425
