REGION,YEAR,VALUE
REGION1,2015,5.844
REGION1,2016,5.881206586169046
REGION1,2017,5.9184131723380915
REGION1,2018,5.955619758507137
REGION1,2019,5.992826344676182
REGION1,2020,6.030032930845228
REGION1,2021,6.092899231613614
REGION1,2022,6.155765532382
REGION1,2023,6.218631833150385
REGION1,2024,6.281498133918772
REGION1,2025,6.344364434687159
REGION1,2026,6.389268935236006
REGION1,2027,6.434173435784855
REGION1,2028,6.479077936333702
REGION1,2029,6.52398243688255
REGION1,2030,6.568886937431397
REGION1,2031,6.644155433589465
REGION1,2032,6.719423929747535
REGION1,2033,6.794692425905602
REGION1,2034,6.869960922063671
REGION1,2035,6.9452294182217384
REGION1,2036,7.01835960482986
REGION1,2037,7.091489791437985
REGION1,2038,7.164619978046107
REGION1,2039,7.237750164654231
REGION1,2040,7.310880351262353
REGION1,2041,7.400689352360047
REGION1,2042,7.490498353457741
REGION1,2043,7.580307354555437
REGION1,2044,7.670116355653131
REGION1,2045,7.759925356750825
REGION1,2046,7.844174753018664
REGION1,2047,7.928424149286502
REGION1,2048,8.01267354555434
REGION1,2049,8.096922941822179
REGION1,2050,8.181172338090017
REGION1,2051,8.262984061470917
REGION1,2052,8.345613902085626
REGION1,2053,8.429070041106483
REGION1,2054,8.513360741517548
REGION1,2055,8.598494348932723
REGION1,2056,8.68447929242205
REGION1,2057,8.77132408534627
REGION1,2058,8.859037326199733
REGION1,2059,8.94762769946173
REGION1,2060,9.037103976456347
