REGION,TECHNOLOGY,YEAR,VALUE
REGION1,IEBFHPFH1,2015,1.0
REGION1,IEBFHPFH1,2016,1.0
REGION1,IEBFHPFH1,2017,1.0
REGION1,IEBFHPFH1,2018,1.0
REGION1,IEBFHPFH1,2019,1.0
REGION1,IEBFHPFH1,2020,1.0
REGION1,IEBFHPFH1,2021,1.0
REGION1,IEBFHPFH1,2022,1.0
REGION1,IEBFHPFH1,2023,1.0
REGION1,IEBFHPFH1,2024,1.0
REGION1,IEBFHPFH1,2025,1.0
REGION1,IEBFHPFH1,2026,1.0
REGION1,IEBFHPFH1,2027,1.0
REGION1,IEBFHPFH1,2028,1.0
REGION1,IEBFHPFH1,2029,1.0
REGION1,IEBFHPFH1,2030,1.0
REGION1,IEBFHPFH1,2031,1.0
REGION1,IEBFHPFH1,2032,1.0
REGION1,IEBFHPFH1,2033,1.0
REGION1,IEBFHPFH1,2034,1.0
REGION1,IEBFHPFH1,2035,1.0
REGION1,IEBFHPFH1,2036,1.0
REGION1,IEBFHPFH1,2037,1.0
REGION1,IEBFHPFH1,2038,1.0
REGION1,IEBFHPFH1,2039,1.0
REGION1,IEBFHPFH1,2040,1.0
REGION1,IEBFHPFH1,2041,1.0
REGION1,IEBFHPFH1,2042,1.0
REGION1,IEBFHPFH1,2043,1.0
REGION1,IEBFHPFH1,2044,1.0
REGION1,IEBFHPFH1,2045,1.0
REGION1,IEBFHPFH1,2046,1.0
REGION1,IEBFHPFH1,2047,1.0
REGION1,IEBFHPFH1,2048,1.0
REGION1,IEBFHPFH1,2049,1.0
REGION1,IEBFHPFH1,2050,1.0
REGION1,IEBFHPFH1,2051,1.0
REGION1,IEBFHPFH1,2052,1.0
REGION1,IEBFHPFH1,2053,1.0
REGION1,IEBFHPFH1,2054,1.0
REGION1,IEBFHPFH1,2055,1.0
REGION1,IEBFHPFH1,2056,1.0
REGION1,IEBFHPFH1,2057,1.0
REGION1,IEBFHPFH1,2058,1.0
REGION1,IEBFHPFH1,2059,1.0
REGION1,IEBFHPFH1,2060,1.0
REGION1,IEBMCCPH1,2015,1.0
REGION1,IEBMCCPH1,2016,1.0
REGION1,IEBMCCPH1,2017,1.0
REGION1,IEBMCCPH1,2018,1.0
REGION1,IEBMCCPH1,2019,1.0
REGION1,IEBMCCPH1,2020,1.0
REGION1,IEBMCCPH1,2021,1.0
REGION1,IEBMCCPH1,2022,1.0
REGION1,IEBMCCPH1,2023,1.0
REGION1,IEBMCCPH1,2024,1.0
REGION1,IEBMCCPH1,2025,1.0
REGION1,IEBMCCPH1,2026,1.0
REGION1,IEBMCCPH1,2027,1.0
REGION1,IEBMCCPH1,2028,1.0
REGION1,IEBMCCPH1,2029,1.0
REGION1,IEBMCCPH1,2030,1.0
REGION1,IEBMCCPH1,2031,1.0
REGION1,IEBMCCPH1,2032,1.0
REGION1,IEBMCCPH1,2033,1.0
REGION1,IEBMCCPH1,2034,1.0
REGION1,IEBMCCPH1,2035,1.0
REGION1,IEBMCCPH1,2036,1.0
REGION1,IEBMCCPH1,2037,1.0
REGION1,IEBMCCPH1,2038,1.0
REGION1,IEBMCCPH1,2039,1.0
REGION1,IEBMCCPH1,2040,1.0
REGION1,IEBMCCPH1,2041,1.0
REGION1,IEBMCCPH1,2042,1.0
REGION1,IEBMCCPH1,2043,1.0
REGION1,IEBMCCPH1,2044,1.0
REGION1,IEBMCCPH1,2045,1.0
REGION1,IEBMCCPH1,2046,1.0
REGION1,IEBMCCPH1,2047,1.0
REGION1,IEBMCCPH1,2048,1.0
REGION1,IEBMCCPH1,2049,1.0
REGION1,IEBMCCPH1,2050,1.0
REGION1,IEBMCCPH1,2051,1.0
REGION1,IEBMCCPH1,2052,1.0
REGION1,IEBMCCPH1,2053,1.0
REGION1,IEBMCCPH1,2054,1.0
REGION1,IEBMCCPH1,2055,1.0
REGION1,IEBMCCPH1,2056,1.0
REGION1,IEBMCCPH1,2057,1.0
REGION1,IEBMCCPH1,2058,1.0
REGION1,IEBMCCPH1,2059,1.0
REGION1,IEBMCCPH1,2060,1.0
REGION1,IEBMCHPH3,2015,1.0
REGION1,IEBMCHPH3,2016,1.0
REGION1,IEBMCHPH3,2017,1.0
REGION1,IEBMCHPH3,2018,1.0
REGION1,IEBMCHPH3,2019,1.0
REGION1,IEBMCHPH3,2020,1.0
REGION1,IEBMCHPH3,2021,1.0
REGION1,IEBMCHPH3,2022,1.0
REGION1,IEBMCHPH3,2023,1.0
REGION1,IEBMCHPH3,2024,1.0
REGION1,IEBMCHPH3,2025,1.0
REGION1,IEBMCHPH3,2026,1.0
REGION1,IEBMCHPH3,2027,1.0
REGION1,IEBMCHPH3,2028,1.0
REGION1,IEBMCHPH3,2029,1.0
REGION1,IEBMCHPH3,2030,1.0
REGION1,IEBMCHPH3,2031,1.0
REGION1,IEBMCHPH3,2032,1.0
REGION1,IEBMCHPH3,2033,1.0
REGION1,IEBMCHPH3,2034,1.0
REGION1,IEBMCHPH3,2035,1.0
REGION1,IEBMCHPH3,2036,1.0
REGION1,IEBMCHPH3,2037,1.0
REGION1,IEBMCHPH3,2038,1.0
REGION1,IEBMCHPH3,2039,1.0
REGION1,IEBMCHPH3,2040,1.0
REGION1,IEBMCHPH3,2041,1.0
REGION1,IEBMCHPH3,2042,1.0
REGION1,IEBMCHPH3,2043,1.0
REGION1,IEBMCHPH3,2044,1.0
REGION1,IEBMCHPH3,2045,1.0
REGION1,IEBMCHPH3,2046,1.0
REGION1,IEBMCHPH3,2047,1.0
REGION1,IEBMCHPH3,2048,1.0
REGION1,IEBMCHPH3,2049,1.0
REGION1,IEBMCHPH3,2050,1.0
REGION1,IEBMCHPH3,2051,1.0
REGION1,IEBMCHPH3,2052,1.0
REGION1,IEBMCHPH3,2053,1.0
REGION1,IEBMCHPH3,2054,1.0
REGION1,IEBMCHPH3,2055,1.0
REGION1,IEBMCHPH3,2056,1.0
REGION1,IEBMCHPH3,2057,1.0
REGION1,IEBMCHPH3,2058,1.0
REGION1,IEBMCHPH3,2059,1.0
REGION1,IEBMCHPH3,2060,1.0
REGION1,IEBMCSPN2,2015,1.0
REGION1,IEBMCSPN2,2016,1.0
REGION1,IEBMCSPN2,2017,1.0
REGION1,IEBMCSPN2,2018,1.0
REGION1,IEBMCSPN2,2019,1.0
REGION1,IEBMCSPN2,2020,1.0
REGION1,IEBMCSPN2,2021,1.0
REGION1,IEBMCSPN2,2022,1.0
REGION1,IEBMCSPN2,2023,1.0
REGION1,IEBMCSPN2,2024,1.0
REGION1,IEBMCSPN2,2025,1.0
REGION1,IEBMCSPN2,2026,1.0
REGION1,IEBMCSPN2,2027,1.0
REGION1,IEBMCSPN2,2028,1.0
REGION1,IEBMCSPN2,2029,1.0
REGION1,IEBMCSPN2,2030,1.0
REGION1,IEBMCSPN2,2031,1.0
REGION1,IEBMCSPN2,2032,1.0
REGION1,IEBMCSPN2,2033,1.0
REGION1,IEBMCSPN2,2034,1.0
REGION1,IEBMCSPN2,2035,1.0
REGION1,IEBMCSPN2,2036,1.0
REGION1,IEBMCSPN2,2037,1.0
REGION1,IEBMCSPN2,2038,1.0
REGION1,IEBMCSPN2,2039,1.0
REGION1,IEBMCSPN2,2040,1.0
REGION1,IEBMCSPN2,2041,1.0
REGION1,IEBMCSPN2,2042,1.0
REGION1,IEBMCSPN2,2043,1.0
REGION1,IEBMCSPN2,2044,1.0
REGION1,IEBMCSPN2,2045,1.0
REGION1,IEBMCSPN2,2046,1.0
REGION1,IEBMCSPN2,2047,1.0
REGION1,IEBMCSPN2,2048,1.0
REGION1,IEBMCSPN2,2049,1.0
REGION1,IEBMCSPN2,2050,1.0
REGION1,IEBMCSPN2,2051,1.0
REGION1,IEBMCSPN2,2052,1.0
REGION1,IEBMCSPN2,2053,1.0
REGION1,IEBMCSPN2,2054,1.0
REGION1,IEBMCSPN2,2055,1.0
REGION1,IEBMCSPN2,2056,1.0
REGION1,IEBMCSPN2,2057,1.0
REGION1,IEBMCSPN2,2058,1.0
REGION1,IEBMCSPN2,2059,1.0
REGION1,IEBMCSPN2,2060,1.0
REGION1,IEBMSTPH3,2015,1.0
REGION1,IEBMSTPH3,2016,1.0
REGION1,IEBMSTPH3,2017,1.0
REGION1,IEBMSTPH3,2018,1.0
REGION1,IEBMSTPH3,2019,1.0
REGION1,IEBMSTPH3,2020,1.0
REGION1,IEBMSTPH3,2021,1.0
REGION1,IEBMSTPH3,2022,1.0
REGION1,IEBMSTPH3,2023,1.0
REGION1,IEBMSTPH3,2024,1.0
REGION1,IEBMSTPH3,2025,1.0
REGION1,IEBMSTPH3,2026,1.0
REGION1,IEBMSTPH3,2027,1.0
REGION1,IEBMSTPH3,2028,1.0
REGION1,IEBMSTPH3,2029,1.0
REGION1,IEBMSTPH3,2030,1.0
REGION1,IEBMSTPH3,2031,1.0
REGION1,IEBMSTPH3,2032,1.0
REGION1,IEBMSTPH3,2033,1.0
REGION1,IEBMSTPH3,2034,1.0
REGION1,IEBMSTPH3,2035,1.0
REGION1,IEBMSTPH3,2036,1.0
REGION1,IEBMSTPH3,2037,1.0
REGION1,IEBMSTPH3,2038,1.0
REGION1,IEBMSTPH3,2039,1.0
REGION1,IEBMSTPH3,2040,1.0
REGION1,IEBMSTPH3,2041,1.0
REGION1,IEBMSTPH3,2042,1.0
REGION1,IEBMSTPH3,2043,1.0
REGION1,IEBMSTPH3,2044,1.0
REGION1,IEBMSTPH3,2045,1.0
REGION1,IEBMSTPH3,2046,1.0
REGION1,IEBMSTPH3,2047,1.0
REGION1,IEBMSTPH3,2048,1.0
REGION1,IEBMSTPH3,2049,1.0
REGION1,IEBMSTPH3,2050,1.0
REGION1,IEBMSTPH3,2051,1.0
REGION1,IEBMSTPH3,2052,1.0
REGION1,IEBMSTPH3,2053,1.0
REGION1,IEBMSTPH3,2054,1.0
REGION1,IEBMSTPH3,2055,1.0
REGION1,IEBMSTPH3,2056,1.0
REGION1,IEBMSTPH3,2057,1.0
REGION1,IEBMSTPH3,2058,1.0
REGION1,IEBMSTPH3,2059,1.0
REGION1,IEBMSTPH3,2060,1.0
REGION1,IECOCHPH3,2015,1.0
REGION1,IECOCHPH3,2016,1.0
REGION1,IECOCHPH3,2017,1.0
REGION1,IECOCHPH3,2018,1.0
REGION1,IECOCHPH3,2019,1.0
REGION1,IECOCHPH3,2020,1.0
REGION1,IECOCHPH3,2021,1.0
REGION1,IECOCHPH3,2022,1.0
REGION1,IECOCHPH3,2023,1.0
REGION1,IECOCHPH3,2024,1.0
REGION1,IECOCHPH3,2025,1.0
REGION1,IECOCHPH3,2026,1.0
REGION1,IECOCHPH3,2027,1.0
REGION1,IECOCHPH3,2028,1.0
REGION1,IECOCHPH3,2029,1.0
REGION1,IECOCHPH3,2030,1.0
REGION1,IECOCHPH3,2031,1.0
REGION1,IECOCHPH3,2032,1.0
REGION1,IECOCHPH3,2033,1.0
REGION1,IECOCHPH3,2034,1.0
REGION1,IECOCHPH3,2035,1.0
REGION1,IECOCHPH3,2036,1.0
REGION1,IECOCHPH3,2037,1.0
REGION1,IECOCHPH3,2038,1.0
REGION1,IECOCHPH3,2039,1.0
REGION1,IECOCHPH3,2040,1.0
REGION1,IECOCHPH3,2041,1.0
REGION1,IECOCHPH3,2042,1.0
REGION1,IECOCHPH3,2043,1.0
REGION1,IECOCHPH3,2044,1.0
REGION1,IECOCHPH3,2045,1.0
REGION1,IECOCHPH3,2046,1.0
REGION1,IECOCHPH3,2047,1.0
REGION1,IECOCHPH3,2048,1.0
REGION1,IECOCHPH3,2049,1.0
REGION1,IECOCHPH3,2050,1.0
REGION1,IECOCHPH3,2051,1.0
REGION1,IECOCHPH3,2052,1.0
REGION1,IECOCHPH3,2053,1.0
REGION1,IECOCHPH3,2054,1.0
REGION1,IECOCHPH3,2055,1.0
REGION1,IECOCHPH3,2056,1.0
REGION1,IECOCHPH3,2057,1.0
REGION1,IECOCHPH3,2058,1.0
REGION1,IECOCHPH3,2059,1.0
REGION1,IECOCHPH3,2060,1.0
REGION1,IECOCSPN2,2015,1.0
REGION1,IECOCSPN2,2016,1.0
REGION1,IECOCSPN2,2017,1.0
REGION1,IECOCSPN2,2018,1.0
REGION1,IECOCSPN2,2019,1.0
REGION1,IECOCSPN2,2020,1.0
REGION1,IECOCSPN2,2021,1.0
REGION1,IECOCSPN2,2022,1.0
REGION1,IECOCSPN2,2023,1.0
REGION1,IECOCSPN2,2024,1.0
REGION1,IECOCSPN2,2025,1.0
REGION1,IECOCSPN2,2026,1.0
REGION1,IECOCSPN2,2027,1.0
REGION1,IECOCSPN2,2028,1.0
REGION1,IECOCSPN2,2029,1.0
REGION1,IECOCSPN2,2030,1.0
REGION1,IECOCSPN2,2031,1.0
REGION1,IECOCSPN2,2032,1.0
REGION1,IECOCSPN2,2033,1.0
REGION1,IECOCSPN2,2034,1.0
REGION1,IECOCSPN2,2035,1.0
REGION1,IECOCSPN2,2036,1.0
REGION1,IECOCSPN2,2037,1.0
REGION1,IECOCSPN2,2038,1.0
REGION1,IECOCSPN2,2039,1.0
REGION1,IECOCSPN2,2040,1.0
REGION1,IECOCSPN2,2041,1.0
REGION1,IECOCSPN2,2042,1.0
REGION1,IECOCSPN2,2043,1.0
REGION1,IECOCSPN2,2044,1.0
REGION1,IECOCSPN2,2045,1.0
REGION1,IECOCSPN2,2046,1.0
REGION1,IECOCSPN2,2047,1.0
REGION1,IECOCSPN2,2048,1.0
REGION1,IECOCSPN2,2049,1.0
REGION1,IECOCSPN2,2050,1.0
REGION1,IECOCSPN2,2051,1.0
REGION1,IECOCSPN2,2052,1.0
REGION1,IECOCSPN2,2053,1.0
REGION1,IECOCSPN2,2054,1.0
REGION1,IECOCSPN2,2055,1.0
REGION1,IECOCSPN2,2056,1.0
REGION1,IECOCSPN2,2057,1.0
REGION1,IECOCSPN2,2058,1.0
REGION1,IECOCSPN2,2059,1.0
REGION1,IECOCSPN2,2060,1.0
REGION1,IECOSTPH1,2015,1.0
REGION1,IECOSTPH1,2016,1.0
REGION1,IECOSTPH1,2017,1.0
REGION1,IECOSTPH1,2018,1.0
REGION1,IECOSTPH1,2019,1.0
REGION1,IECOSTPH1,2020,1.0
REGION1,IECOSTPH1,2021,1.0
REGION1,IECOSTPH1,2022,1.0
REGION1,IECOSTPH1,2023,1.0
REGION1,IECOSTPH1,2024,1.0
REGION1,IECOSTPH1,2025,1.0
REGION1,IECOSTPH1,2026,1.0
REGION1,IECOSTPH1,2027,1.0
REGION1,IECOSTPH1,2028,1.0
REGION1,IECOSTPH1,2029,1.0
REGION1,IECOSTPH1,2030,1.0
REGION1,IECOSTPH1,2031,1.0
REGION1,IECOSTPH1,2032,1.0
REGION1,IECOSTPH1,2033,1.0
REGION1,IECOSTPH1,2034,1.0
REGION1,IECOSTPH1,2035,1.0
REGION1,IECOSTPH1,2036,1.0
REGION1,IECOSTPH1,2037,1.0
REGION1,IECOSTPH1,2038,1.0
REGION1,IECOSTPH1,2039,1.0
REGION1,IECOSTPH1,2040,1.0
REGION1,IECOSTPH1,2041,1.0
REGION1,IECOSTPH1,2042,1.0
REGION1,IECOSTPH1,2043,1.0
REGION1,IECOSTPH1,2044,1.0
REGION1,IECOSTPH1,2045,1.0
REGION1,IECOSTPH1,2046,1.0
REGION1,IECOSTPH1,2047,1.0
REGION1,IECOSTPH1,2048,1.0
REGION1,IECOSTPH1,2049,1.0
REGION1,IECOSTPH1,2050,1.0
REGION1,IECOSTPH1,2051,1.0
REGION1,IECOSTPH1,2052,1.0
REGION1,IECOSTPH1,2053,1.0
REGION1,IECOSTPH1,2054,1.0
REGION1,IECOSTPH1,2055,1.0
REGION1,IECOSTPH1,2056,1.0
REGION1,IECOSTPH1,2057,1.0
REGION1,IECOSTPH1,2058,1.0
REGION1,IECOSTPH1,2059,1.0
REGION1,IECOSTPH1,2060,1.0
REGION1,IECOSTPH3,2015,1.0
REGION1,IECOSTPH3,2016,1.0
REGION1,IECOSTPH3,2017,1.0
REGION1,IECOSTPH3,2018,1.0
REGION1,IECOSTPH3,2019,1.0
REGION1,IECOSTPH3,2020,1.0
