REGION,TECHNOLOGY,YEAR,VALUE
REGION1,ITBFHPFH1,2015,1.0
REGION1,ITBFHPFH1,2016,1.0
REGION1,ITBFHPFH1,2017,1.0
REGION1,ITBFHPFH1,2018,1.0
REGION1,ITBFHPFH1,2019,1.0
REGION1,ITBFHPFH1,2020,1.0
REGION1,ITBFHPFH1,2021,1.0
REGION1,ITBFHPFH1,2022,1.0
REGION1,ITBFHPFH1,2023,1.0
REGION1,ITBFHPFH1,2024,1.0
REGION1,ITBFHPFH1,2025,1.0
REGION1,ITBFHPFH1,2026,1.0
REGION1,ITBFHPFH1,2027,1.0
REGION1,ITBFHPFH1,2028,1.0
REGION1,ITBFHPFH1,2029,1.0
REGION1,ITBFHPFH1,2030,1.0
REGION1,ITBFHPFH1,2031,1.0
REGION1,ITBFHPFH1,2032,1.0
REGION1,ITBFHPFH1,2033,1.0
REGION1,ITBFHPFH1,2034,1.0
REGION1,ITBFHPFH1,2035,1.0
REGION1,ITBFHPFH1,2036,1.0
REGION1,ITBFHPFH1,2037,1.0
REGION1,ITBFHPFH1,2038,1.0
REGION1,ITBFHPFH1,2039,1.0
REGION1,ITBFHPFH1,2040,1.0
REGION1,ITBFHPFH1,2041,1.0
REGION1,ITBFHPFH1,2042,1.0
REGION1,ITBFHPFH1,2043,1.0
REGION1,ITBFHPFH1,2044,1.0
REGION1,ITBFHPFH1,2045,1.0
REGION1,ITBFHPFH1,2046,1.0
REGION1,ITBFHPFH1,2047,1.0
REGION1,ITBFHPFH1,2048,1.0
REGION1,ITBFHPFH1,2049,1.0
REGION1,ITBFHPFH1,2050,1.0
REGION1,ITBFHPFH1,2051,1.0
REGION1,ITBFHPFH1,2052,1.0
REGION1,ITBFHPFH1,2053,1.0
REGION1,ITBFHPFH1,2054,1.0
REGION1,ITBFHPFH1,2055,1.0
REGION1,ITBFHPFH1,2056,1.0
REGION1,ITBFHPFH1,2057,1.0
REGION1,ITBFHPFH1,2058,1.0
REGION1,ITBFHPFH1,2059,1.0
REGION1,ITBFHPFH1,2060,1.0
REGION1,ITBMCCPH1,2015,1.0
REGION1,ITBMCCPH1,2016,1.0
REGION1,ITBMCCPH1,2017,1.0
REGION1,ITBMCCPH1,2018,1.0
REGION1,ITBMCCPH1,2019,1.0
REGION1,ITBMCCPH1,2020,1.0
REGION1,ITBMCCPH1,2021,1.0
REGION1,ITBMCCPH1,2022,1.0
REGION1,ITBMCCPH1,2023,1.0
REGION1,ITBMCCPH1,2024,1.0
REGION1,ITBMCCPH1,2025,1.0
REGION1,ITBMCCPH1,2026,1.0
REGION1,ITBMCCPH1,2027,1.0
REGION1,ITBMCCPH1,2028,1.0
REGION1,ITBMCCPH1,2029,1.0
REGION1,ITBMCCPH1,2030,1.0
REGION1,ITBMCCPH1,2031,1.0
REGION1,ITBMCCPH1,2032,1.0
REGION1,ITBMCCPH1,2033,1.0
REGION1,ITBMCCPH1,2034,1.0
REGION1,ITBMCCPH1,2035,1.0
REGION1,ITBMCCPH1,2036,1.0
REGION1,ITBMCCPH1,2037,1.0
REGION1,ITBMCCPH1,2038,1.0
REGION1,ITBMCCPH1,2039,1.0
REGION1,ITBMCCPH1,2040,1.0
REGION1,ITBMCCPH1,2041,1.0
REGION1,ITBMCCPH1,2042,1.0
REGION1,ITBMCCPH1,2043,1.0
REGION1,ITBMCCPH1,2044,1.0
REGION1,ITBMCCPH1,2045,1.0
REGION1,ITBMCCPH1,2046,1.0
REGION1,ITBMCCPH1,2047,1.0
REGION1,ITBMCCPH1,2048,1.0
REGION1,ITBMCCPH1,2049,1.0
REGION1,ITBMCCPH1,2050,1.0
REGION1,ITBMCCPH1,2051,1.0
REGION1,ITBMCCPH1,2052,1.0
REGION1,ITBMCCPH1,2053,1.0
REGION1,ITBMCCPH1,2054,1.0
REGION1,ITBMCCPH1,2055,1.0
REGION1,ITBMCCPH1,2056,1.0
REGION1,ITBMCCPH1,2057,1.0
REGION1,ITBMCCPH1,2058,1.0
REGION1,ITBMCCPH1,2059,1.0
REGION1,ITBMCCPH1,2060,1.0
REGION1,ITBMCHPH3,2015,1.0
REGION1,ITBMCHPH3,2016,1.0
REGION1,ITBMCHPH3,2017,1.0
REGION1,ITBMCHPH3,2018,1.0
REGION1,ITBMCHPH3,2019,1.0
REGION1,ITBMCHPH3,2020,1.0
REGION1,ITBMCHPH3,2021,1.0
REGION1,ITBMCHPH3,2022,1.0
REGION1,ITBMCHPH3,2023,1.0
REGION1,ITBMCHPH3,2024,1.0
REGION1,ITBMCHPH3,2025,1.0
REGION1,ITBMCHPH3,2026,1.0
REGION1,ITBMCHPH3,2027,1.0
REGION1,ITBMCHPH3,2028,1.0
REGION1,ITBMCHPH3,2029,1.0
REGION1,ITBMCHPH3,2030,1.0
REGION1,ITBMCHPH3,2031,1.0
REGION1,ITBMCHPH3,2032,1.0
REGION1,ITBMCHPH3,2033,1.0
REGION1,ITBMCHPH3,2034,1.0
REGION1,ITBMCHPH3,2035,1.0
REGION1,ITBMCHPH3,2036,1.0
REGION1,ITBMCHPH3,2037,1.0
REGION1,ITBMCHPH3,2038,1.0
REGION1,ITBMCHPH3,2039,1.0
REGION1,ITBMCHPH3,2040,1.0
REGION1,ITBMCHPH3,2041,1.0
REGION1,ITBMCHPH3,2042,1.0
REGION1,ITBMCHPH3,2043,1.0
REGION1,ITBMCHPH3,2044,1.0
REGION1,ITBMCHPH3,2045,1.0
REGION1,ITBMCHPH3,2046,1.0
REGION1,ITBMCHPH3,2047,1.0
