REGION;EMISSION;YEAR;VALUE
REGION1;UKC2;2015;0.024813
REGION1;UKC2;2016;0.024813
REGION1;UKC2;2017;0.024813
REGION1;UKC2;2018;0.024813
REGION1;UKC2;2019;0.024813
REGION1;UKC2;2020;0.024813
REGION1;UKC2;2021;0.024813
REGION1;UKC2;2022;0.024813
REGION1;UKC2;2023;0.024813
REGION1;UKC2;2024;0.024813
REGION1;UKC2;2025;0.024813
REGION1;UKC2;2026;0.024813
REGION1;UKC2;2027;0.024813
REGION1;UKC2;2028;0.024813
REGION1;UKC2;2029;0.024813
REGION1;UKC2;2030;0.024813
REGION1;UKC2;2031;0.024813
REGION1;UKC2;2032;0.024813
REGION1;UKC2;2033;0.024813
REGION1;UKC2;2034;0.024813
REGION1;UKC2;2035;0.024813
REGION1;UKC2;2036;0.024813
REGION1;UKC2;2037;0.024813
REGION1;UKC2;2038;0.024813
REGION1;UKC2;2039;0.024813
REGION1;UKC2;2040;0.024813
REGION1;UKC2;2041;0.024813
REGION1;UKC2;2042;0.024813
REGION1;UKC2;2043;0.024813
REGION1;UKC2;2044;0.024813
REGION1;UKC2;2045;0.024813
REGION1;UKC2;2046;0.024813
REGION1;UKC2;2047;0.024813
REGION1;UKC2;2048;0.024813
REGION1;UKC2;2049;0.024813
REGION1;UKC2;2050;0.024813
REGION1;UKC2;2051;0.024813
REGION1;UKC2;2052;0.024813
REGION1;UKC2;2053;0.024813
REGION1;UKC2;2054;0.024813
REGION1;UKC2;2055;0.024813
REGION1;UKC2;2056;0.024813
REGION1;UKC2;2057;0.024813
REGION1;UKC2;2058;0.024813
REGION1;UKC2;2059;0.024813
REGION1;UKC2;2060;0.024813
REGION1;CO2;2025;0.031481222
REGION1;CO2;2026;0.033055283
REGION1;CO2;2027;0.034708047
REGION1;CO2;2028;0.03644345
REGION1;CO2;2029;0.038265622
REGION1;CO2;2030;0.040178903
REGION1;CO2;2031;0.042187849
REGION1;CO2;2032;0.044297241
REGION1;CO2;2033;0.046512103
REGION1;CO2;2034;0.048837708
REGION1;CO2;2035;0.051279594
REGION1;CO2;2036;0.053843573
REGION1;CO2;2037;0.056535752
REGION1;CO2;2038;0.05936254
REGION1;CO2;2039;0.062330667
REGION1;CO2;2040;0.0654472
REGION1;CO2;2041;0.06871956
REGION1;CO2;2042;0.072155538
REGION1;CO2;2043;0.075763315
REGION1;CO2;2044;0.079551481
REGION1;CO2;2045;0.083529055
REGION1;CO2;2046;0.087705507
REGION1;CO2;2047;0.092090783
REGION1;CO2;2048;0.096695322
REGION1;CO2;2049;0.101530088
REGION1;CO2;2050;0.106606592
REGION1;CO2;2051;0.111936922
REGION1;CO2;2052;0.117533768
REGION1;CO2;2053;0.123410457
REGION1;CO2;2054;0.129580979
REGION1;CO2;2055;0.136060028
REGION1;CO2;2056;0.14286303
REGION1;CO2;2057;0.150006181
REGION1;CO2;2058;0.15750649
REGION1;CO2;2059;0.165381815
REGION1;CO2;2060;0.173650906
